,wiki_name,wpPage,stintType,timePeriod,teamName,matchesPlayed,pointsScored
239,Melbourne Thomas,https://en.wikipedia.org/wiki/Melbourne_Thomas,amateur,-,ogmore vale rfc,0,0
240,Melbourne Thomas,https://en.wikipedia.org/wiki/Melbourne_Thomas,amateur,-,st. batholomew's hospital,0,0
241,Melbourne Thomas,https://en.wikipedia.org/wiki/Melbourne_Thomas,amateur,-,bridgend rfc,0,0
242,Melbourne Thomas,https://en.wikipedia.org/wiki/Melbourne_Thomas,amateur,-,london welsh rfc,0,0
243,Melbourne Thomas,https://en.wikipedia.org/wiki/Melbourne_Thomas,amateur,-,cardiff rfc,0,0
244,Melbourne Thomas,https://en.wikipedia.org/wiki/Melbourne_Thomas,amateur,-,barbarian f.c.,0,0
245,Dan Luger,https://en.wikipedia.org/wiki/Dan_Luger,amateur,1991-1993,richmond,0,0
246,Dan Luger,https://en.wikipedia.org/wiki/Dan_Luger,senior_club,1993-1995,richmond,0,25
247,Dan Luger,https://en.wikipedia.org/wiki/Dan_Luger,senior_club,1995-1996,orrell,0,5
248,Dan Luger,https://en.wikipedia.org/wiki/Dan_Luger,senior_club,1996-1999,harlequins,0,0
249,Dan Luger,https://en.wikipedia.org/wiki/Dan_Luger,senior_club,1999-2001,saracens,0,30
250,Dan Luger,https://en.wikipedia.org/wiki/Dan_Luger,senior_club,2001-2003,harlequins,0,120
251,Dan Luger,https://en.wikipedia.org/wiki/Dan_Luger,senior_club,2003-2005,perpignan,0,0
