,wiki_name,wpPage,stintType,timePeriod,teamName,matchesPlayed,pointsScored
46,Asaeli Tuivuaka,https://en.wikipedia.org/wiki/Asaeli_Tuivuaka,senior_club,2021,nhru wildfires,0,5
47,Asaeli Tuivuaka,https://en.wikipedia.org/wiki/Asaeli_Tuivuaka,senior_club,2021-2022,zebre,0,5
48,Asaeli Tuivuaka,https://en.wikipedia.org/wiki/Asaeli_Tuivuaka,senior_club,2022-,racing 92,0,0
49,Asaeli Tuivuaka,https://en.wikipedia.org/wiki/Asaeli_Tuivuaka,international,2018,fiji warriors,0,15
50,Jono Janse van Rensburg,https://en.wikipedia.org/wiki/Jono_Janse_van_Rensburg,amateur,2011-2014,up tuks,0,0
51,Jono Janse van Rensburg,https://en.wikipedia.org/wiki/Jono_Janse_van_Rensburg,senior_club,2012,blue bulls,0,0
52,Jono Janse van Rensburg,https://en.wikipedia.org/wiki/Jono_Janse_van_Rensburg,senior_club,2015-2019,griquas,0,45
53,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,amateur,2008-2009,maties,0,25
54,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2009,western province,0,2
55,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2010,griquas,0,27
56,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2011-2014,pumas,0,293
57,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2014,lions,0,5
58,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2015,free state xv,0,42
59,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2015,free state cheetahs,0,0
60,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2015,cheetahs,0,10
61,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2015-2016,griffons,0,13
62,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2016-2020,toshiba brave lupus,0,164
63,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,senior_club,2021-,shimizu blue sharks,0,13
64,Coenie van Wyk,https://en.wikipedia.org/wiki/Coenie_van_Wyk,international,2012,south african barbarians (north),0,0
65,Tobias Elliott,https://en.wikipedia.org/wiki/Tobias_Elliott,amateur,–,harrow rfc,0,0
66,Tobias Elliott,https://en.wikipedia.org/wiki/Tobias_Elliott,senior_club,2022-,saracens,0,52
67,Tobias Elliott,https://en.wikipedia.org/wiki/Tobias_Elliott,senior_club,2022-23,→old albanians,0,0
68,Tobias Elliott,https://en.wikipedia.org/wiki/Tobias_Elliott,senior_club,2023-24,→ampthill,0,62
69,Tobias Elliott,https://en.wikipedia.org/wiki/Tobias_Elliott,international,2021,england u18s,0,0
70,Tobias Elliott,https://en.wikipedia.org/wiki/Tobias_Elliott,international,2023,england u20s,0,0
71,Tobias Elliott,https://en.wikipedia.org/wiki/Tobias_Elliott,international,2025,england a,0,0
72,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,amateur,1996-1998,waihou,0,0
73,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,amateur,-,otorohanga,0,0
74,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,amateur,-,taupo united,0,0
75,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,senior_club,1996,thames valley,0,0
76,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,senior_club,1997-1998,king country,0,5
77,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,senior_club,1999-2002,gauteng falcons,0,0
78,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,international,1996,new zealand maori,0,0
79,Matt Te Pou,https://en.wikipedia.org/wiki/Matt_Te_Pou,international,1998-2002,tonga,0,5
80,Kazuaki Takahashi,https://en.wikipedia.org/wiki/Kazuaki_Takahashi,amateur,1986-1990,osaka university of health and sport sciences,0,0
