wikidataId,name,wikipediaEn,url,,,,,
Q382731,John Warlow,John_Warlow,https://en.wikipedia.org/wiki/John_Warlow,,,,,
Q383727,Giovanbattista Venditti,Giovanbattista_Venditti,https://en.wikipedia.org/wiki/Giovanbattista_Venditti,,,,,
Q383886,Fourie du Preez,Fourie_du_Preez,https://en.wikipedia.org/wiki/Fourie_du_Preez,,,,,
Q384650,Paul Carozza,Paul_Carozza,https://en.wikipedia.org/wiki/Paul_Carozza,,,,,
Q385574,Jim Webb,Jim_Webb_(rugby),https://en.wikipedia.org/wiki/Jim_Webb_(rugby),,,,,
Q385611,Brodie Henderson,Brodie_Henderson_(rugby_union),https://en.wikipedia.org/wiki/Brodie_Henderson_(rugby_union),,,,,
Q385839,Clive Sullivan,Clive_Sullivan,https://en.wikipedia.org/wiki/Clive_Sullivan,,,,,
Q387450,Franck Montanella,Franck_Montanella,https://en.wikipedia.org/wiki/Franck_Montanella,,,,,
Q387525,"Wavell Wakefield, 1st Baron Wakefield of Kendal","Wavell_Wakefield,_1st_Baron_Wakefield_of_Kendal","https://en.wikipedia.org/wiki/Wavell_Wakefield,_1st_Baron_Wakefield_of_Kendal",,,,,
Q387669,John Robbie,John_Robbie,https://en.wikipedia.org/wiki/John_Robbie,,,,,
Q387758,John Rudd,John_Rudd_(rugby_union),https://en.wikipedia.org/wiki/John_Rudd_(rugby_union),,,,,
Q389714,Imanol Harinordoquy,Imanol_Harinordoquy,https://en.wikipedia.org/wiki/Imanol_Harinordoquy,,,,,
Q390102,Darren Crompton,Darren_Crompton,https://en.wikipedia.org/wiki/Darren_Crompton,,,,,
Q399410,Agust«n Pichot,Agust%C3%ADn_Pichot,https://en.wikipedia.org/wiki/Agust%C3%ADn_Pichot,,,,,
Q405431,Aiman Abdallah,Aiman_Abdallah,https://en.wikipedia.org/wiki/Aiman_Abdallah,,,,,
Q406125,Benjamin Dambielle,Benjamin_Dambielle,https://en.wikipedia.org/wiki/Benjamin_Dambielle,,,,,
Q406132,Romain Cabannes,Romain_Cabannes,https://en.wikipedia.org/wiki/Romain_Cabannes,,,,,
Q406142,R«∏mi Lamerat,R%C3%A9mi_Lamerat,https://en.wikipedia.org/wiki/R%C3%A9mi_Lamerat,,,,,
Q406148,Jean-Marc Mazzonetto,Jean-Marc_Mazzonetto,https://en.wikipedia.org/wiki/Jean-Marc_Mazzonetto,,,,,
Q406385,R«∏mi Tales,R%C3%A9mi_Tal%C3%A8s,https://en.wikipedia.org/wiki/R%C3%A9mi_Tal%C3%A8s,,,,,
