name,url
SiuFa'apopo Siu[22],https://en.wikipedia.org#cite_note-22
UtuʻutuL. Utuʻutu,
ViliM. Vili,
AlesanaSusuga Alesana,https://en.wikipedia.org/w/index.php?title=Susuga_Alesana&action=edit&redlink=1
AtiʻifaleSe Atiʻifale,https://en.wikipedia.org/w/index.php?title=Se_Ati%CA%BBifale&action=edit&redlink=1
LeaupepeSimaile Leaupepe,https://en.wikipedia.org/w/index.php?title=Simaile_Leaupepe&action=edit&redlink=1
LeavasaAndy Leavasa,https://en.wikipedia.org/w/index.php?title=Andy_Leavasa&action=edit&redlink=1
MaleleMagalo Malele,https://en.wikipedia.org/w/index.php?title=Magalo_Malele&action=edit&redlink=1
PalamoArona Palamo,https://en.wikipedia.org/w/index.php?title=Arona_Palamo&action=edit&redlink=1
PalamoNiko Palamo,https://en.wikipedia.org/wiki/Aveau_Niko_Palamo
PatuTapuofaofa Patu,https://en.wikipedia.org/w/index.php?title=Tapuofaofa_Patu&action=edit&redlink=1
SaifoloiKeli Saifoloi,https://en.wikipedia.org/w/index.php?title=Keli_Saifoloi&action=edit&redlink=1
SalesaTaufusi Salesa,https://en.wikipedia.org/w/index.php?title=Taufusi_Salesa&action=edit&redlink=1
SchmidtRicky Schmidt,https://en.wikipedia.org/w/index.php?title=Ricky_Schmidt&action=edit&redlink=1
TalapusiFaitala Talapusi,https://en.wikipedia.org/w/index.php?title=Faitala_Talapusi&action=edit&redlink=1
ToloaFoua Toloa,https://en.wikipedia.org/w/index.php?title=Foua_Toloa_(rugby_union)&action=edit&redlink=1
UtuʻutuA. Utuʻutu,
AimaʻasuFineaso Aimaʻasu,https://en.wikipedia.org/w/index.php?title=Fineaso_Aima%CA%BBasu&action=edit&redlink=1
PatuSeletifuti Patu,https://en.wikipedia.org/w/index.php?title=Seletifuti_Patu&action=edit&redlink=1
PhillipsMark Phillips,https://en.wikipedia.org/w/index.php?title=Mark_Phillips_(rugby_union)&action=edit&redlink=1
KoruaKorua,
PatuO. Patu,
SchmidtP. Schmidt,
SililotoFeausiga Sililoto,https://en.wikipedia.org/w/index.php?title=Feausiga_Sililoto&action=edit&redlink=1
AoeseTaei Aoese,https://en.wikipedia.org/w/index.php?title=Taei_Aoese&action=edit&redlink=1
EseraSaipele Esera,https://en.wikipedia.org/w/index.php?title=Saipele_Esera&action=edit&redlink=1
LimaFalefa Lima,https://en.wikipedia.org/w/index.php?title=Falefa_Lima&action=edit&redlink=1
PunivaluSamuela Punivalu,https://en.wikipedia.org/w/index.php?title=Samuela_Punivalu&action=edit&redlink=1
SeʻumanutafaTufua Seʻumanutafa,https://en.wikipedia.org/w/index.php?title=Tufua_Se%CA%BBumanutafa&action=edit&redlink=1
SioaPio Sioa,https://en.wikipedia.org/w/index.php?title=Pio_Sioa&action=edit&redlink=1
TafuaDickie Tafua,https://en.wikipedia.org/wiki/Titimaea_Tafua
SolipoIeti Solipo,https://en.wikipedia.org/w/index.php?title=Ieti_Solipo&action=edit&redlink=1
TasiVaʻa Tasi,https://en.wikipedia.org/w/index.php?title=Va%CA%BBa_Tasi&action=edit&redlink=1
HuchJack Huch,https://en.wikipedia.org/w/index.php?title=Jack_Huch&action=edit&redlink=1
LimaMaafala Lima,https://en.wikipedia.org/w/index.php?title=Maafala_Lima&action=edit&redlink=1
