"fullName","rugbyscopeId"
"6th bat. kosb",NA
"a.s. macon","412"
"aas sarcelles","3118"
"aberdeen wanderers","895"
"aberdeenshire","2945"
"abertay rfc","2996"
"act kookaburras","80"
"african bombers","6200"
"aix en provence","181"
"alessandria","2165"
"alhambra-union","5916"
"alhambra union","5916"
"amatori capoterra","790"
"ammunition company",NA
"ampthill & district rfc","909"
"annecy","705"
"aparejadores burgos","2553"
"appia rugby","5618"
"apt","5417"
"ardmore marist rfc","5803"
"argentina u-19","6910"
"argentina u-21","6911"
"argentina under-18","6987"
"argentina under-19","6910"
"york rufc","2875"
"young munster rfc","225"
"zimbabwe","281"
"zimbabwe under-18","7428"
"zingarei-richmond","5947"
"zingari-richmond","5947"
"zvezdakaliningrad","7406"
"zvezdatashkent","7429"
"yonsei university","6876"
"ynysddu river rats rfc","1993"
"yeomen","7402"
"yalalevu","7469"
"yakult levins toda","2571"
"worcester rfc","332"
"wolverhampton","3987"
"wollongbar alstonville","3739"
"witbank ferros","6243"
"windhoek wanderers","6242"
"wests brisbane","741"
"western suburbs rc","6240"
"western province","344"
"western province country xv","344"
"western counties",NA
"west harlepool","738"
"west harbour rfc","737"
"west counties",NA
"west coast-buller","736"
"wellington","270"
"wellington development","270"
"wanneroo","3656"
"wanganui","730"
"wanderers rc","2637"
"wanderers newcastle","3942"
"wanderers f.c","358"
"walsall rfc","2674"
"wales xv","1948"
"wales 16",NA
"wales 18","1949"
"wales 19","7412"
"wales a","1948"
"wales development","1948"
"wales u18s","1949"
"wales u21s","7413"
"wales under-18","1949"
"wales under-21","7413"
