origWdId,origName,esName,wpPage,startYear,endYear,teamName,teamWP,matchesPlayed,pointsScored
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,,,Argentina,/wiki/Selecci%C3%B3n_de_rugby_de_Argentina,4,43
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2004,2009,Córdoba Athletic Club,/wiki/C%C3%B3rdoba_Athletic_Club,,
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2009,2010,Pampas XV,/wiki/Pampas_XV,,
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2010,2013,Montpellier,/wiki/Montpellier_H%C3%A9rault_Rugby_Club,,
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2013,2019,Aviron Bayonnais,/wiki/Aviron_Bayonnais,,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2010,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,66,138
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2006,2015,Hawke's Bay Rugby ,,,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2009,2010,Highlanders,/wiki/Highlanders_(rugby),,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2011,2019,Crusaders ,,,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2018,,Canon Eagles,/w/index.php?title=Canon_Eagles&action=edit&redlink=1,,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,53,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2002,2004,Free State Cheetahs ,,,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2005,2010,Bulls,/wiki/Bulls_(rugby),,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2011,2017,Stade Toulousain,/wiki/Stade_Toulousain,,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2017,2018,Stade Français Paris,/wiki/Stade_Fran%C3%A7ais_Paris,,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,23,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2002,2003,Counties Manukau RU ,,,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2004,2011,Waikato RU ,,,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2005,2011,Chiefs,/wiki/Chiefs_(rugby),,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2012,2013,Bath Rugby,/wiki/Bath_Rugby,,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2013,,Mitsubishi Dynaboars,/w/index.php?title=Mitsubishi_Dynaboars&action=edit&redlink=1,,
Q151533,Sam Whitelock,Sam Whitelock,Sam_Whitelock,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,153,35
Q151533,Sam Whitelock,Sam Whitelock,Sam_Whitelock,2008,2023,Canterbury,/wiki/Canterbury_Rugby_Football_Union,,
Q151533,Sam Whitelock,Sam Whitelock,Sam_Whitelock,2010,2023,Crusaders ,,,
Q151533,Sam Whitelock,Sam Whitelock,Sam_Whitelock,2020,,Panasonic Wild Knights,/wiki/Panasonic_Wild_Knights,,
Q151533,Sam Whitelock,Sam Whitelock,Sam_Whitelock,2023,2024,Section Paloise ,,,
Q151572,Victor Vito,Victor Vito,Victor_Vito,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,33,20
Q151572,Victor Vito,Victor Vito,Victor_Vito,2006,2015,Wellington,/wiki/Wellington_Lions,,
Q151572,Victor Vito,Victor Vito,Victor_Vito,2009,2016,Hurricanes,/wiki/Hurricanes_(rugby),,
Q151572,Victor Vito,Victor Vito,Victor_Vito,2016,2022,Stade Rochelais,/wiki/Stade_Rochelais,,
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,31,25
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,2003,2007,Griquas,/wiki/Griquas,,
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,2008,2012,Bulls,/wiki/Bulls_(rugby),,
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,2013,,Leinster Rugby,/wiki/Leinster_Rugby,,
Q168675,Francois Pienaar,François Pienaar,Francois_Pienaar,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,29,
Q168675,Francois Pienaar,François Pienaar,Francois_Pienaar,1989,1996,Golden Lions,/wiki/Golden_Lions,,
Q168675,Francois Pienaar,François Pienaar,Francois_Pienaar,1996,2000,Saracens,/wiki/Saracens,,
Q169368,Jean Monribot,Jean Monribot,Jean_Monribot,2006,2013,SU Agen,/wiki/Sporting_Union_Agen,,
Q169368,Jean Monribot,Jean Monribot,Jean_Monribot,2013,2017,Aviron Bayonnais,/wiki/Aviron_Bayonnais,,
Q169368,Jean Monribot,Jean Monribot,Jean_Monribot,2017,2019,RC Toulon,/wiki/Rugby-Club_Toulonnais,,
Q169368,Jean Monribot,Jean Monribot,Jean_Monribot,2019,presente,Aviron Bayonnais,/wiki/Aviron_Bayonnais,,
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,1963,,Gales,/wiki/Selecci%C3%B3n_de_rugby_de_Gales,14,3
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,1958,1962,Abercrave RFC,/w/index.php?title=Abercrave_RFC&action=edit&redlink=1,,
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,1962,1963,Pontypool RFC,/w/index.php?title=Pontypool_RFC&action=edit&redlink=1,,
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,1963,1965,Llanelli RFC,/wiki/Llanelli_RFC,,
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,1965,1967,Swansea RFC,/wiki/Swansea_RFC,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,69,141
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2006,2009,Natal Sharks,/wiki/Natal_Sharks,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2007,2009,Sharks,/wiki/Sharks,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2009,2012,Racing Métro 92,/wiki/Racing_M%C3%A9tro_92,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2012,2014,Sharks,/wiki/Sharks,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2014,2015,Toshiba Brave Lupus ,,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2015,2016,Sharks,/wiki/Sharks,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2016,2020,Montpellier,/wiki/Montpellier_H%C3%A9rault_Rugby_Club,,
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,2020,2023,Cheetahs,/wiki/Cheetahs_(rugby),,
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,,,Italia,/wiki/Selecci%C3%B3n_de_rugby_de_Italia,142,83
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,2002,2003,Universitario de La Plata,/wiki/Club_Universitario_de_La_Plata,,
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,2003,2005,Benetton Treviso,/wiki/Benetton_Rugby_Treviso,,
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,2005,2019,Stade Français,/wiki/Stade_Fran%C3%A7ais_Paris,,
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,2019,2023,RC Toulon,/wiki/Rugby-Club_Toulonnais,,
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,50,
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,2010,2011,Hurricanes,/wiki/Hurricanes_(rugby),,
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,2012,2017,Chiefs,/wiki/Chiefs_(rugby),,
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,2017,2019,Montpellier,/wiki/Montpellier_H%C3%A9rault_Rugby_Club,,
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,2020,,Chiefs,/wiki/Chiefs_(rugby),,
