origWdId,origName,itName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q165701,Ali Williams,Ali Williams,Ali_Williams,Senior,2013-15,Tolone,/wiki/Rugby_Club_Toulonnais,30,5
Q165701,Ali Williams,Ali Williams,Ali_Williams,Senior,2016-17,Racing 92,/wiki/Racing_92,7,0
Q165701,Ali Williams,Ali Williams,Ali_Williams,Senior,2002-07,Blues,/wiki/Blues_(rugby_a_15),52,5
Q165701,Ali Williams,Ali Williams,Ali_Williams,Senior,2008,Crusaders,/wiki/Crusaders,15,15
Q165701,Ali Williams,Ali Williams,Ali_Williams,Senior,2009-13,Blues,/wiki/Blues_(rugby_a_15),51,5
Q165701,Ali Williams,Ali Williams,Ali_Williams,International,2002-2012,Nuova Zelanda,/wiki/Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda,77,35
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,Regional,2003-07,Griquas,/wiki/Griqualand_West_Griquas,58,177
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,Regional,2008-13,Blue Bulls,/wiki/Blue_Bulls,43,34
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,Senior,2018,Bristol,/wiki/Bristol_Rugby,3,0
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,Senior,2007,Cheetahs,/wiki/Central_Cheetahs,0,0
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,Senior,2008-13,Bulls,/wiki/Bulls_(rugby_a_15),82,105
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,Senior,2013-17,Leinster,/wiki/Leinster_Rugby,66,60
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,Senior,2017-19,Newport G.D.,/wiki/Dragons_(rugby_a_15),20,5
Q166094,Zane Kirchner,Zane Kirchner,Zane_Kirchner,International,2009-,Sudafrica,/wiki/Nazionale_maschile_di_rugby_a_15_del_Sudafrica,31,25
Q168675,Francois Pienaar,François Pienaar,Fran%C3%A7ois_Pienaar,Regional,1989-1996,Transvaal,/wiki/Golden_Lions,89,?
Q168675,Francois Pienaar,François Pienaar,Fran%C3%A7ois_Pienaar,Senior,1996-2000,Saracens,/wiki/Saracens_Football_Club,48,55
Q168675,Francois Pienaar,François Pienaar,Fran%C3%A7ois_Pienaar,Senior,1996,Gauteng Lions,/wiki/Lions_(rugby_a_15),11,5
Q168675,Francois Pienaar,François Pienaar,Fran%C3%A7ois_Pienaar,International,1993-1996,Sudafrica,/wiki/Nazionale_maschile_di_rugby_a_15_del_Sudafrica,29,15
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,Senior,,Abercrave,,,
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,Senior,,Pontypool,/wiki/Pontypool_Rugby_Football_Club,,
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,Senior,,Llanelli,/wiki/Llanelli_Rugby_Football_Club,,
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,Senior,,Swansea,/wiki/Swansea_Rugby_Football_Club,,
