origWdId,origName,debugComment,itName,wpPage,height,weight,positions,positionsWP,birthCountry,sportCountry,currentTeam,currentTeamWP
Q209365,Richie Gray,,Richie Gray,Richie_Gray,207,120,Seconda linea,,Regno Unito,Scozia,,
Q221074,Bud Spencer,No stint found,Carlo Pedersoli,Bud_Spencer,192,125,Centroboa,,Italia,,,
Q250054,Mark Donaldson,No IT WP page,,,,,,,,,,
Q250144,Irakli Giorgadze,No IT WP page,,,,,,,,,,
Q261176,Geoff Evans,No IT WP page,,,,,,,,,,
Q261477,Gareth Llewellyn,,Gareth Llewellyn,Gareth_Llewellyn,198,114,Seconda linea,,Galles,,Bristol,/wiki/Bristol_Rugby
Q261702,Sunia Koto,No IT WP page,,,,,,,,,,
Q266062,Gareth John Williams,No IT WP page,,,,,,,,,,
Q276102,Jean de Villiers,,Jean de Villiers,Jean_de_Villiers_(rugbista),191,100,Tre quarti centro,,Sudafrica,,,
Q281187,George Chuter,,George Chuter,George_Chuter,178,101,Tallonatore,,Regno Unito,Inghilterra,,
Q281715,Wessel Roux,No IT WP page,,,,,,,,,,
Q281871,Tom Kiernan,No IT WP page,,,,,,,,,,
Q282219,Nikki Walker,No IT WP page,,,,,,,,,,
Q282754,Josh Taumalolo,No IT WP page,,,,,,,,,,
Q283441,Alexander Widiker,No IT WP page,,,,,,,,,,
Q284846,Schalk Willem Petrus Burger,,Schalk Burger,Schalk_Burger,193,114,Terza linea ala,,Sudafrica,,,
Q284926,George Whitelock,No IT WP page,,,,,,,,,,
Q285258,Ron Waldron,,Ron Waldron,Ron_Waldron,,,pilone,,Galles,,,
Q285739,Valentin Ursache,,Valentin Ursache,Valentin_Ursache,194,110,Terza linea ala,,Romania,,Oyonnax,/wiki/Oyonnax_Rugby
Q286258,Yannick Jauzion,,Yannick Jauzion,Yannick_Jauzion,193,106,Tre quarti centro,,Francia,,,
Q287936,Joe Launchbury,,Joe Launchbury,Joe_Launchbury,199,115,Seconda linea,,Regno Unito,Inghilterra,Wasps,/wiki/Wasps_Rugby_Football_Club
Q289223,Jerry Collins,,Jerry Collins,Jerry_Collins,191,107,Terza linea,,Samoa Occ.,Nuova Zelanda,,
Q289332,George Travers,No IT WP page,,,,,,,,,,
Q301081,Jamie Salmon,,Jamie Salmon,Jamie_Salmon,183,84,Tre quarti centro,,Hong Kong,Nuova Zelanda; Inghilterra,,
Q302330,Aaron Mauger,,Aaron Mauger,Aaron_Mauger,183,94,Tre quarti centro,,Nuova Zelanda,,,
Q311569,Michael Hester,No stint found,Michael Hester,Michael_Hester,181,,,,,,,
Q316676,Mariusz Pudzianowski,No stint found,Mariusz Pudzianowski,Mariusz_Pudzianowski,186,116,,,Polonia,,,
Q317422,Eric Liddell,,Eric Liddell,Eric_Liddell,173,68,Tre quarti ala,,Regno Unito,,,
Q318920,Jonny Wilkinson,,Jonny Wilkinson,Jonny_Wilkinson,178,85,Mediano d'apertura,,Regno Unito,Inghilterra,,
Q319318,William Webb Ellis,No infobox found,,William_Webb_Ellis,,,,,,,,
Q323192,Saïmoni Vaka,No IT WP page,,,,,,,,,,
Q325033,Jannie du Plessis,,Jannie du Plessis,Jannie_du_Plessis,188,121,Pilone,,Sudafrica,,,
Q325881,Hugh Llewellyn Glyn Hughes,No stint found,Hugh Llewellyn Glyn Hughes,Hugh_Llewellyn_Glyn_Hughes,,,,,,,,
Q327770,John Roe,,John Roe,John_Roe,187,105,Terza linea centro,,Australia,,,
Q329393,David Auradou,,David Auradou,David_Auradou,201,108,Seconda linea,,Francia,,,
Q335197,Bryan Habana,,Bryan Habana,Bryan_Habana,180,94,Tre quarti ala,,Sudafrica,,,
Q335238,Rahul Bose,No infobox found,,Rahul_Bose,,,,,,,,
Q338006,Jean-Baptiste Élissalde,No stint found,Jean-Baptiste Élissalde,Jean-Baptiste_%C3%89lissalde,172,73,Mediano d'apertura,,Francia,,,
Q339938,Chris Budgen,No IT WP page,,,,,,,,,,
Q348855,Pat Sanderson,,Pat Sanderson,Pat_Sanderson,190,104,Terza linea centro,,Regno Unito,Inghilterra,,
Q348867,Ian Kirkpatrick,,Ian Kirkpatrick,Ian_Kirkpatrick,190,102,Terza linea,,Nuova Zelanda,,,
Q350686,Adam Rhys Jones,,Adam Jones,Adam_Jones_(rugbista_1981),183,124,Pilone,,Regno Unito,Galles,,
Q350967,Luke McAlister,,Luke McAlister,Luke_McAlister,180,95,Utility back,,Nuova Zelanda,,,
Q351157,Adam Whitelock,No IT WP page,,,,,,,,,,
Q352068,Carl Hayman,,Carl Hayman,Carl_Hayman,193,119,Pilone,,Nuova Zelanda,,,
Q353833,Hosea Gear,,Hosea Gear,Hosea_Gear,188,104,Tre quarti ala,,Nuova Zelanda,,Narbonne,/wiki/Racing_Club_Narbonne
Q356460,Dick Spring,No stint found,Dick Spring,Dick_Spring_(politico),,,,,,,,
Q360694,Charlie Hodgson,,Charlie Hodgson,Charlie_Hodgson,178,82,Mediano d’apertura,,Regno Unito,Inghilterra,,
Q361549,David Bortolussi,,David Bortolussi,David_Bortolussi,188,88,Estremo,,Francia,Italia,,
Q361732,Brian Ashton,,Brian Ashton,Brian_Ashton,,,Mediano di mischia,,Regno Unito,Inghilterra,,
Q363717,Jonah Lomu,,Jonah Lomu,Jonah_Lomu,196,119,Tre quarti ala,,Nuova Zelanda,,,
Q364461,Josh Lewsey,,Josh Lewsey,Josh_Lewsey,178,87,Utility back,,Regno Unito,Inghilterra,,
Q364694,Lote Tuqiri,,Lote Tuqiri,Lote_Tuqiri,191,102,Utility back,,Figi,Australia,,
Q364941,Matt Burke,No stint found,Matt Burke,Matt_Burke,183,94,Utility back,,Australia,,,
Q365677,Adolphe Bousquet,No IT WP page,,,,,,,,,,
Q365731,Michael Lynagh,,Michael Lynagh,Michael_Lynagh,178,80,Mediano d’apertura,,Australia,,,
Q365879,Brian Lima,,Brian Lima,Brian_Lima,183,97,Utility back,,Samoa Occ.,,,
Q366237,Jeff Wilson,,Jeff Wilson,Jeff_Wilson,180,94,Utility back,,Nuova Zelanda,,,
Q367554,John Gwilliam,No IT WP page,,,,,,,,,,
Q369607,Salvatore Perugini,,Salvatore Perugini,Salvatore_Perugini,182,119,Pilone,,Italia,,,
Q369619,Gavin Johnson,,Gavin Johnson,Gavin_Johnson,188,80,Tre quarti ala,,Sudafrica,,,
Q370059,George Smith,,George Smith,George_Smith_(rugbista),180,98,Terza linea ala,,Australia,,,
Q371377,Gheorghe Benția,No IT WP page,,,,,,,,,,
Q371503,André Béhotéguy,No IT WP page,,,,,,,,,,
Q371838,William Cail,No IT WP page,,,,,,,,,,
Q372362,Mike Teague,,Mike Teague,Mike_Teague,190,106,Terza linea ala,,Regno Unito,Inghilterra,,
Q372453,Marcelo Loffreda,,Marcelo Loffreda,Marcelo_Loffreda,,,Tre quarti centro,,Argentina,,,
Q372734,Adrian Cashmore,,Adrian Cashmore,Adrian_Cashmore,183,90,Estremo,,Nuova Zelanda,,,
Q373384,Noel Purcell,,Noel Purcell,Noel_Purcell,186,,,,Irlanda,,,
Q373771,Mark Ella,,Mark Ella,Mark_Ella,178,81,Mediano d'apertura,,Australia,,,
