origWdId,origName,debugComment,itName,wpPage,height,weight,positions,positionsWP,birthCountry,sportCountry,currentTeam,currentTeamWP
Q3169524,Jean-Pierre Lux,No IT WP page,,,,,,,,,,
Q3169559,Jean-Pierre Massines,No IT WP page,,,,,,,,,,
Q3169578,Jean-Pierre Mir,No IT WP page,,,,,,,,,,
Q3169596,Jean-Pierre Mouysset,No IT WP page,,,,,,,,,,
Q3169637,Jean-Pierre Pesteil,No IT WP page,,,,,,,,,,
Q3169672,Jean-Pierre Puidebois,No IT WP page,,,,,,,,,,
Q3169695,Jean-Pierre Razat,No IT WP page,,,,,,,,,,
Q3169722,Jean-Pierre Romeu,No IT WP page,,,,,,,,,,
Q3169749,Jean-Pierre Saux,No IT WP page,,,,,,,,,,
Q3169865,Jean-Pierre Élissalde,No IT WP page,,,,,,,,,,
Q3169878,Jean-Raphaël Alvarez,No IT WP page,,,,,,,,,,
Q3169893,Jean-René Bouscatel,No IT WP page,,,,,,,,,,
Q3169969,Jean-Roger Bourdeu,No IT WP page,,,,,,,,,,
Q3170068,Jean-Victor Bertrand,No IT WP page,,,,,,,,,,
Q3170616,Jean Barthe,No IT WP page,,,,,,,,,,
Q3170731,Jean Bernon,No IT WP page,,,,,,,,,,
Q3170776,Jean Bichindaritz,No IT WP page,,,,,,,,,,
Q3170799,Jean Blond,No IT WP page,,,,,,,,,,
Q3170863,Jean Boubée,No IT WP page,,,,,,,,,,
Q3170902,Jean Bouilhou,No IT WP page,,,,,,,,,,
Q3171060,Jean Bénetière,No IT WP page,,,,,,,,,,
Q3171114,Jean Capdouze,No IT WP page,,,,,,,,,,
Q3171139,Jean Carrère,No IT WP page,,,,,,,,,,
Q3171167,Jean Castets,No IT WP page,,,,,,,,,,
Q3171177,Jean Caujolle,No IT WP page,,,,,,,,,,
Q3171342,Jean Clavé,No IT WP page,,,,,,,,,,
Q3171352,Jean Clément,No IT WP page,,,,,,,,,,
Q3171387,Jean Colombier,No IT WP page,,,,,,,,,,
Q3171408,Jean Condom,,Jean Condom,Jean_Condom,197,111,Seconda linea,,Francia,,,
Q3171434,Jean Costantino,No IT WP page,,,,,,,,,,
Q3171541,Jean Danion,No IT WP page,,,,,,,,,,
Q3171558,Jean Darrieussecq,No IT WP page,,,,,,,,,,
Q3171568,Jean Daudé,No IT WP page,,,,,,,,,,
Q3171570,Jean Dauger,No IT WP page,,,,,,,,,,
Q3171597,Jean De Dieu Rakotonirina,No IT WP page,,,,,,,,,,
Q3171707,Jean Desclaux,,Jean Desclaux,Jean_Desclaux,,,Terza linea,,Francia,,,
Q3171850,Jean Duhau,No IT WP page,,,,,,,,,,
Q3171958,Jean Fabre,No IT WP page,,,,,,,,,,
Q3172178,Jean Gachassin,No IT WP page,,,,,,,,,,
Q3172200,Jean Galia,No IT WP page,,,,,,,,,,
Q3172744,Jean Iraçabal,No IT WP page,,,,,,,,,,
Q3172810,Jean Jo Marmouyet,No IT WP page,,,,,,,,,,
Q3173012,Jean Larrieu,No IT WP page,,,,,,,,,,
Q3173014,Jean Larribau,No IT WP page,,,,,,,,,,
Q3173026,Jean Laudouar,No IT WP page,,,,,,,,,,
Q3173071,Jean Le Droff,No IT WP page,,,,,,,,,,
Q3173231,Jean Liénard,No IT WP page,,,,,,,,,,
Q3173429,Jean Martin,No IT WP page,,,,,,,,,,
Q3173456,Jean Matheu-Cambas,No IT WP page,,,,,,,,,,
Q3173615,Jean Morère,No IT WP page,,,,,,,,,,
Q3173738,Jean Normand,No IT WP page,,,,,,,,,,
Q3173801,Jean Othats,No IT WP page,,,,,,,,,,
Q3173979,Jean Pierre-Antoine,No IT WP page,,,,,,,,,,
Q3174026,Jean Pilon,No IT WP page,,,,,,,,,,
Q3174033,Jean Piqué,No IT WP page,,,,,,,,,,
Q3174118,Jean Prin-Clary,No IT WP page,,,,,,,,,,
Q3174291,Jean Rey,No IT WP page,,,,,,,,,,
Q3174535,Jean Salut,No IT WP page,,,,,,,,,,
Q3174552,Jean Sarda,No IT WP page,,,,,,,,,,
Q3174610,Jean Semmartin,No IT WP page,,,,,,,,,,
Q3174629,Jean Sillières,No IT WP page,,,,,,,,,,
Q3174720,Jean Sébédio,No IT WP page,,,,,,,,,,
Q3174854,Jean Trillo,No IT WP page,,,,,,,,,,
Q3175442,Jean de Grégorio,No IT WP page,,,,,,,,,,
Q3175878,Jeandré Fourie,No IT WP page,,,,,,,,,,
Q3176327,Jebb Sinclair,No IT WP page,,,,,,,,,,
Q3176552,Jeff McLean,No IT WP page,,,,,,,,,,
Q3176589,Jeff Squire,,Jeff Squire,Jeff_Squire,190,99,Terza linea,,Regno Unito,Galles,,
Q3176811,Jehoida Hodges,No IT WP page,,,,,,,,,,
Q3177273,Jeremaiya Tamanisau,No IT WP page,,,,,,,,,,
Q3177306,Jeremy Davidson,,Jeremy Davidson,Jeremy_Davidson,198,115,Seconda linea,,Regno Unito,Irlanda,,
Q3177328,Jeremy Manning,No IT WP page,,,,,,,,,,
Q3177333,Jeremy Nel,No IT WP page,,,,,,,,,,
Q3177336,Jeremy Paul,,Jeremy Paul,Jeremy_Paul,183,103,Tallonatore,,Nuova Zelanda,Australia,,
Q3177350,Jeremy Staunton,No IT WP page,,,,,,,,,,
Q3177492,Jerry Meafou,No IT WP page,,,,,,,,,,
Q3178537,Jharay Russell,No IT WP page,,,,,,,,,,
Q3178722,Jim Aitken,No IT WP page,,,,,,,,,,
Q3178816,Jim Hamilton,,Jim Hamilton,Jim_Hamilton,203,125,Seconda linea,,Regno Unito,Scozia,,
Q3178817,Jim Hannan,No IT WP page,,,,,,,,,,
Q3178879,Joseph Magee,No IT WP page,,,,,,,,,,
Q3178885,Jim McCarthy,No IT WP page,,,,,,,,,,
Q3178886,Jim McCoy,No IT WP page,,,,,,,,,,
Q3178933,Jim Renwick,No IT WP page,,,,,,,,,,
Q3178941,Jim Shanklin,No IT WP page,,,,,,,,,,
Q3178949,Jim Staples,,Jim Staples,Jim_Staples,188,87,Estremo,,Regno Unito,Irlanda,,
Q3179000,Jimmie O'Sullivan,No IT WP page,,,,,,,,,,
Q3179036,Jimmy Duncan,No IT WP page,,,,,,,,,,
Q3179047,James Leo Farrell,No IT WP page,,,,,,,,,,
Q3179051,Jimmy Gopperth,,Jimmy Gopperth,Jimmy_Gopperth,178,88,Utility back,,Nuova Zelanda,,Provenza,/wiki/Provence_Rugby
Q3179063,Jimmy Hunter,No IT WP page,,,,,,,,,,
Q3179073,Jimmy Ledgard,No IT WP page,,,,,,,,,,
Q3179079,Jimmy Marlu,,Jimmy Marlu,Jimmy_Marlu,180,89,Mediano d'apertura,,Francia,,,
Q3179090,Jimmy Mill,No IT WP page,,,,,,,,,,
Q3179170,Jimmy Yobo,No IT WP page,,,,,,,,,,
Q3179435,Joachim Algisi,No IT WP page,,,,,,,,,,
Q3179564,Joan Caudullo,No IT WP page,,,,,,,,,,
Q3179753,Joaquin Pastore,No IT WP page,,,,,,,,,,
Q3179777,Joaquín Tuculet,,Joaquín Tuculet,Joaqu%C3%ADn_Tuculet,184,92,Utility back,,Argentina,,,
Q3179820,Jocelino Suta,No IT WP page,,,,,,,,,,
Q3179896,Jock Hobbs,,Jock Hobbs,Jock_Hobbs,185,92,Terza linea ala,,Nuova Zelanda,,,
Q3179899,Jock Richardson,No IT WP page,,,,,,,,,,
Q3179950,Jody Jenneker,No IT WP page,,,,,,,,,,
Q3179966,Joé Anduran,No IT WP page,,,,,,,,,,
Q3179968,Joe Ansbro,No IT WP page,,,,,,,,,,
Q3180054,Joe El-Abd,No IT WP page,,,,,,,,,,
Q3180097,Joe Karam,No IT WP page,,,,,,,,,,
Q3180098,Joe Kaminer,No IT WP page,,,,,,,,,,
Q3180114,Joseph Mbu,No IT WP page,,,,,,,,,,
Q3180129,Joe McDonnell,,Joe McDonnell,Joe_McDonnell_(rugbista),175,108,Pilone,,Nuova Zelanda,,,
Q3180173,Joe Roff,,Joe Roff,Joe_Roff,191,101,Utility back,,Australia,,,
Q3180190,Joe Stanley,,Joe Stanley,Joe_Stanley,178,83,Tre quarti centro,,Nuova Zelanda,,,
Q3180204,Joe van Niekerk,,Joe van Niekerk,Joe_van_Niekerk,193,108,Terza linea centro,,Sudafrica,,,
Q3180275,Joeli Veitayaki,No IT WP page,,,,,,,,,,
Q3180277,Joeli Vidiri,No IT WP page,,,,,,,,,,
Q3180347,Joffrey Michel,No IT WP page,,,,,,,,,,
Q3180391,Johan Claassen,No IT WP page,,,,,,,,,,
Q3180394,Johan Dalla Riva,No IT WP page,,,,,,,,,,
Q3180404,Johan Goosen,No IT WP page,,,,,,,,,,
Q3180407,Johan Hendriks,No IT WP page,,,,,,,,,,
Q3180454,Johan Roux,,Johan Roux,Johan_Roux,180,80,Mediano di mischia,,Sudafrica,,,
Q3180457,Johan Steenekamp,No IT WP page,,,,,,,,,,
Q3180464,Johan van Zyl,No IT WP page,,,,,,,,,,
Q3180465,Johan Wasserman,No IT WP page,,,,,,,,,,
Q3180747,Johannes Geldenhuys,No IT WP page,,,,,,,,,,
Q3180823,Johañe Luro,No IT WP page,,,,,,,,,,
Q3180900,John Allan,No IT WP page,,,,,,,,,,
Q3180901,John Allan,No IT WP page,,,,,,,,,,
Q3180936,John Arthur Jones,No IT WP page,,,,,,,,,,
Q3180943,John Ashworth,No IT WP page,,,,,,,,,,
Q3180986,John Ballesty,No IT WP page,,,,,,,,,,
Q3180995,John Barclay,,John Barclay,John_Barclay_(rugbista),190,102,Terza linea ala,,Regno Unito,Scozia,,
Q3181016,John Beattie,No IT WP page,,,,,,,,,,
Q3181019,John Beattie,No IT WP page,,,,,,,,,,
Q3181022,Johnnie Beattie,,John Beattie,John_Beattie_(rugbista_1985),193,105,Terza linea centro,,Regno Unito,Scozia,Bayonne,/wiki/Aviron_Bayonnais_Rugby_Pro
Q3181040,John Bentley,,John Bentley,John_Bentley,182,98,Tre quarti ala,,Regno Unito,Inghilterra,,
Q3181054,John Bevan,No IT WP page,,,,,,,,,,
Q3181084,John Boe,No IT WP page,,,,,,,,,,
Q3181101,John Boswell,No IT WP page,,,,,,,,,,
Q3181124,John Brass,No IT WP page,,,,,,,,,,
Q3181139,John Buchanan,No IT WP page,,,,,,,,,,
Q3181199,John Carleton,,John Carleton,John_Carleton,180,90,Tre quarti ala,,Regno Unito,Inghilterra,,
Q3181249,John Coffey,No IT WP page,,,,,,,,,,
Q3181253,John Cole,No IT WP page,,,,,,,,,,
Q3181263,John Connolly,,John Connolly,John_Connolly_(allenatore_di_rugby),,,Tallonatore,,Australia,,,
Q3181270,John Corbett,No IT WP page,,,,,,,,,,
Q3181285,John Crabbie,No IT WP page,,,,,,,,,,
Q3181318,John Dallas,No IT WP page,,,,,,,,,,
Q3181321,John Daly,No IT WP page,,,,,,,,,,
Q3181347,John Devereux,No IT WP page,,,,,,,,,,
Q3181382,John Drake,,John Drake,John_Drake,183,99,Pilone,,Nuova Zelanda,,,
Q3181504,John Fleming,No IT WP page,,,,,,,,,,
Q3181506,John Flett,,John Flett,John_Flett,,,Tre quarti ala,,Australia,,,
Q3181513,John Fogarty,No IT WP page,,,,,,,,,,
Q3181521,John Forrest,No IT WP page,,,,,,,,,,
Q3181545,John Fulton,No IT WP page,,,,,,,,,,
Q3181556,John Gainsford,No IT WP page,,,,,,,,,,
Q3181557,John Anthony Gallagher,,John Gallagher,John_Gallagher,190,85,Estremo,,Regno Unito,Nuova Zelanda; Irlanda,,
Q3181584,John Gillespie,No IT WP page,,,,,,,,,,
Q3181624,John Graf,No IT WP page,,,,,,,,,,
Q3181626,John Graham,No IT WP page,,,,,,,,,,
Q3181639,John Greenwell,No IT WP page,,,,,,,,,,
Q3181702,John Hart,,John Hart,John_Hart_(rugbista_1946),,,Mediano di mischia,,Nuova Zelanda,,,
Q3181704,John Hastie,No IT WP page,,,,,,,,,,
Q3181759,John Hipwell,No IT WP page,,,,,,,,,,
Q3181779,John Hore,No IT WP page,,,,,,,,,,
Q3181780,John Horton,No IT WP page,,,,,,,,,,
Q3181813,John Isaac,No IT WP page,,,,,,,,,,
Q3181828,John Jeffrey,No IT WP page,,,,,,,,,,
Q3181857,John Kelly,,John Kelly,John_Kelly,178,89,Tre quarti ala,,Irlanda,Irlanda,,
Q3181859,John Kendall-Carpenter,No IT WP page,,,,,,,,,,
Q3181929,John Leslie,No IT WP page,,,,,,,,,,
Q3181938,John Liley,No IT WP page,,,,,,,,,,
Q3181964,John Lytle,No IT WP page,,,,,,,,,,
Q3181969,John MacCallum,No IT WP page,,,,,,,,,,
Q3181974,John Macauley,No IT WP page,,,,,,,,,,
Q3181992,John Mantle,No IT WP page,,,,,,,,,,
Q3182098,John Mitchell,,John Mitchell,John_Mitchell_(rugbista),190,108,Terza linea centro,,Nuova Zelanda,,,
Q3182102,John Moloney,No IT WP page,,,,,,,,,,
Q3182115,John Moore,No IT WP page,,,,,,,,,,
Q3182200,John O'Driscoll,No IT WP page,,,,,,,,,,
Q3182217,John Olver,,John Olver,John_Olver_(rugbista),,,Tallonatore,,Regno Unito,Inghilterra,,
Q3182224,John Orwin,No IT WP page,,,,,,,,,,
Q3182246,John Palmer,No IT WP page,,,,,,,,,,
Q3182253,John Paterson,No IT WP page,,,,,,,,,,
Q3182273,John Payne,No IT WP page,,,,,,,,,,
Q3182320,John Pullin,,John Pullin,John_Pullin,182,96,Tallonatore,,Regno Unito,Inghilterra,,
Q3182340,John Raphael,No IT WP page,,,,,,,,,,
Q3182401,John Rutherford,No IT WP page,,,,,,,,,,
Q3182405,John Ryan,No IT WP page,,,,,,,,,,
Q3182417,John Samuel,No IT WP page,,,,,,,,,,
Q3182442,John Scott,No IT WP page,,,,,,,,,,
Q3182443,John Scoular,No IT WP page,,,,,,,,,,
Q3182449,John Senio,No IT WP page,,,,,,,,,,
Q3182463,John Simson,No IT WP page,,,,,,,,,,
Q3182486,John Solomon,No IT WP page,,,,,,,,,,
Q3182511,Billy Stead,No IT WP page,,,,,,,,,,
Q3182526,John Stewart,No IT WP page,,,,,,,,,,
Q3182547,John Willie Sutcliffe,No IT WP page,,,,,,,,,,
Q3182560,John Tait,No IT WP page,,,,,,,,,,
Q3182576,John Taylor,,John Taylor,John_Taylor_(rugbista),180,85,Flanker,,Galles,,,
Q3182601,John Thornett,No IT WP page,,,,,,,,,,
Q3182629,John Uzzell,No IT WP page,,,,,,,,,,
Q3182710,John Wells,,John Wells,John_Wells_(rugbista),,,Terza linea ala,,Regno Unito,Inghilterra,,
Q3182829,Johne Murphy,No IT WP page,,,,,,,,,,
Q3182843,Johnnie Wallace,No IT WP page,,,,,,,,,,
Q3182865,Johnny Buchler,No IT WP page,,,,,,,,,,
Q3182933,Johnny Leo'o,No IT WP page,,,,,,,,,,
Q3182947,Johnny Ngauamo,No IT WP page,,,,,,,,,,
Q3182961,Johannes Redelinghuys,No IT WP page,,,,,,,,,,
Q3182987,Johnny Williams,No IT WP page,,,,,,,,,,
Q3183006,Johnson Falefa,No IT WP page,,,,,,,,,,
Q3183177,Jon Callard,,Jon Callard,Jon_Callard,180,81,Estremo,,Regno Unito,Inghilterra,,
Q3183195,Jon Hall,,Jon Hall,Jon_Hall_(rugbista),191,108,Terza linea,,Regno Unito,Inghilterra,,
Q3183200,Jon Iturriria,No IT WP page,,,,,,,,,,
Q3183225,Jon Petrie,,Jon Petrie,Jon_Petrie,193,109,Terza linea centro,,Regno Unito,Scozia,,
Q3183243,Jon Thiel,No IT WP page,,,,,,,,,,
Q3183245,Jon Welsh,No IT WP page,,,,,,,,,,
Q3183317,Jonathan Bell,,Jonathan Bell,Jonathan_Bell,180,95,Tre quarti centro,,Regno Unito,Irlanda,,
Q3183326,Jonathan Best,No IT WP page,,,,,,,,,,
Q3183330,Jonathan Bousquet,No IT WP page,,,,,,,,,,
Q3183360,Jonathan Elgoyhen,No IT WP page,,,,,,,,,,
Q3183372,Jonathan Garcia,No IT WP page,,,,,,,,,,
Q3183424,Jonathan Meredith,No IT WP page,,,,,,,,,,
Q3183437,Jonathan Pélissié,No IT WP page,,,,,,,,,,
Q3183471,Jonathan Stuart,No IT WP page,,,,,,,,,,
Q3183497,Jonathan Webb,,Jonathan Webb,Jonathan_Webb,188,93,Estremo,,Regno Unito,Inghilterra,,
Q3183502,Jonathan Wisniewski,No IT WP page,,,,,,,,,,
Q3183539,Jone Qovu,No IT WP page,,,,,,,,,,
Q3183541,Jone Railomo,No IT WP page,,,,,,,,,,
Q3183546,Jone Tawake,No IT WP page,,,,,,,,,,
Q3183557,Jonetani Robanakadavu,No IT WP page,,,,,,,,,,
Q3183563,Jongi Nokwe,No IT WP page,,,,,,,,,,
Q3183595,Jonny Fa'amatuainu,,Jonny Fa’amatuainu,Jonny_Fa%27amatuainu,195,106,Seconda linea,,Nuova Zelanda,Samoa,,
Q3183609,Johnny O'Connor,,Johnny O'Connor,Johnny_O%27Connor,178,100,Flanker,,Irlanda,,,
Q3183616,Jono Gibbes,No IT WP page,,,,,,,,,,
Q3183684,Jordan Crane,No IT WP page,,,,,,,,,,
Q3183692,Jordan Garnier,No IT WP page,,,,,,,,,,
Q3183700,Jordan Merle,No IT WP page,,,,,,,,,,
Q3183783,Jorge Allen,,Jorge Allen,Jorge_Allen,191,95,Terza linea,,Argentina,,,
Q3183826,Jorge García,No IT WP page,,,,,,,,,,
Q3183939,Julian Gardner,,Julian Gardner,Julian_Gardner,193,100,Terza linea,,Australia,Italia,,
Q3183951,Jorrie Muller,,Jorrie Muller,Jorrie_Muller,180,85,Tre quarti ala,,Sudafrica,,,
Q3184545,Joseph Augé,No IT WP page,,,,,,,,,,
Q3184580,Joseph Bavozet,No IT WP page,,,,,,,,,,
Q3184758,Joseph Choy,No IT WP page,,,,,,,,,,
Q3184798,Joseph Crespo,No IT WP page,,,,,,,,,,
Q3184842,Joseph Desclaux,No IT WP page,,,,,,,,,,
Q3184985,Joseph Galy,No IT WP page,,,,,,,,,,
Q3185148,Joseph Jourdain de Muizon,No IT WP page,,,,,,,,,,
Q3185316,Joseph Marmayou,No IT WP page,,,,,,,,,,
Q3185403,Joseph Navarro,No IT WP page,,,,,,,,,,
Q3185454,Joseph Pascot,No IT WP page,,,,,,,,,,
Q3185624,Joseph Sayrou,No IT WP page,,,,,,,,,,
Q3185694,Joe Tuineau,No IT WP page,,,,,,,,,,
Q3185703,Joseph Wilson Vaka,No IT WP page,,,,,,,,,,
Q3185918,Josese Bale,No IT WP page,,,,,,,,,,
Q3185975,Josh Holmes,No IT WP page,,,,,,,,,,
Q3185977,Josh Jackson,No IT WP page,,,,,,,,,,
Q3185986,Josh Kronfeld,,Josh Kronfeld,Josh_Kronfeld,185,94,Terza linea,,Nuova Zelanda,,,
Q3185989,Josh Matavesi,,Josh Matavesi,Josh_Matavesi,188,112,Tre quarti centro,,Regno Unito,Figi,Toyota Shuttles,
Q3186060,Josias Jacobus Du Toit,No IT WP page,,,,,,,,,,
Q3186246,José Cilley,,José Cilley,Jos%C3%A9_Cilley,178,80,Mediano d'apertura,,Argentina,,,
Q3186267,José Díaz,No IT WP page,,,,,,,,,,
Q3186451,José María Núñez Piossek,,José María Núñez Piossek,Jos%C3%A9_Mar%C3%ADa_N%C3%BA%C3%B1ez_Piossek,182,89,Tre quarti ala,,Argentina,,,
Q3186497,José Orengo,,José Orengo,Jos%C3%A9_Orengo,175,80,Tre quarti centro,,Argentina,,,
Q3186525,José Pinto,,José Pinto,Jos%C3%A9_Pinto_(rugbista),185,85,Mediano di mischia,,Portogallo,,,
Q3186536,José Rakoto,No IT WP page,,,,,,,,,,
Q3187310,João Luiz da Ros,No IT WP page,,,,,,,,,,
Q3187329,João Uva,No IT WP page,,,,,,,,,,
Q3187425,Joël Koffi,No IT WP page,,,,,,,,,,
Q3187436,Joël Merlaud,No IT WP page,,,,,,,,,,
Q3187451,Joël Pécune,No IT WP page,,,,,,,,,,
Q3187454,Joël Rey,No IT WP page,,,,,,,,,,
Q3187550,Juan Angelillo,No IT WP page,,,,,,,,,,
Q3187593,Juan Campomar,No IT WP page,,,,,,,,,,
Q3187595,Juan Carlos Bado,No IT WP page,,,,,,,,,,
Q3187645,Juan Figallo,,Juan Figallo,Juan_Figallo,188,119,Pilone,,Argentina,,,
Q3187647,Juan Francisco Gomez,No IT WP page,,,,,,,,,,
Q3187685,Juan José Imhoff,,Juan Imhoff,Juan_Imhoff,185,84,Tre quarti ala,,Argentina,,Racing Métro 92,/wiki/Racing_92
Q3187702,Juan Labat,No IT WP page,,,,,,,,,,
Q3187723,Juan Martín Berberián,No IT WP page,,,,,,,,,,
Q3187742,Juan Murré,No IT WP page,,,,,,,,,,
Q3187756,Juan Pablo Orlandi,,Juan Pablo Orlandi,Juan_Pablo_Orlandi,191,124,Pilone,,Argentina,,,
Q3187834,Juan de Jongh,,Juan de Jongh,Juan_de_Jongh,175,87,Tre quarti centro,,Sudafrica,,Stormers,/wiki/Stormers
Q3187851,Juan Fernández Miranda,,Juan Fernández Miranda,Juan_Fern%C3%A1ndez_Miranda,178,88,Mediano d'apertura,,Argentina,,,
Q3187964,Judicaël Baquet,No IT WP page,,,,,,,,,,
Q3188462,Jules Cadenat,No IT WP page,,,,,,,,,,
Q3188653,Jules Hauc,No IT WP page,,,,,,,,,,
Q3188851,Jules Plisson,,Jules Plisson,Jules_Plisson,183,92,Mediano d'apertura,,Francia,,La Rochelle,/wiki/Stade_rochelais
Q3189088,Julian Fiorini,No IT WP page,,,,,,,,,,
Q3189091,Julian Huxley,,Julian Huxley,Julian_Huxley_(rugbista),186,94,Utility back,,Australia,,,
Q3189106,Julian Savea,,Julian Savea,Julian_Savea,192,107,Tre quarti ala,,Nuova Zelanda,,Wellington,/wiki/Wellington_Rugby_Football_Union
Q3189111,Julian Vulakoro,No IT WP page,,,,,,,,,,
Q3189114,Julian White,No stint found,Julian White,Julian_White,185,120,Pilone,,Regno Unito,Inghilterra,Leicester,/wiki/Leicester_Tigers
Q3189343,Julien Arrieta,No IT WP page,,,,,,,,,,
Q3189360,Julien Berger,,Julien Berger,Julien_Berger,171,82,Mediano di mischia,,Belgio,,Nevers,
Q3189392,Julien Brugnaut,No IT WP page,,,,,,,,,,
Q3189405,Julien Campo,No IT WP page,,,,,,,,,,
Q3189406,Julien Caminati,No IT WP page,,,,,,,,,,
Q3189409,Julien Capdeillayre,No IT WP page,,,,,,,,,,
Q3189410,Julien Candelon,No IT WP page,,,,,,,,,,
Q3189416,Julien Cazenave,No IT WP page,,,,,,,,,,
Q3189423,Julien Chouquet,No IT WP page,,,,,,,,,,
Q3189480,Julien Dufau,No IT WP page,,,,,,,,,,
Q3189482,Julien Dumora,No IT WP page,,,,,,,,,,
Q3189487,Julien Facundo,No IT WP page,,,,,,,,,,
Q3189489,Julien Faurois,No IT WP page,,,,,,,,,,
Q3189492,Julien Flanquart,No IT WP page,,,,,,,,,,
Q3189499,Julien Frier,No IT WP page,,,,,,,,,,
Q3189501,Julien Fumat,No IT WP page,,,,,,,,,,
Q3189506,Julien Gaultier,No IT WP page,,,,,,,,,,
Q3189512,Julien Gros,No IT WP page,,,,,,,,,,
Q3189532,Julien Jacquot,No IT WP page,,,,,,,,,,
Q3189536,Julien Jeuvrey,No IT WP page,,,,,,,,,,
Q3189549,Julien Laharrague,,Julien Laharrague,Julien_Laharrague,186,90,Estremo,,Francia,,Lourdes,/wiki/Football_Club_Lourdais_XV
Q3189554,Julien Le Devedec,No IT WP page,,,,,,,,,,
Q3189567,Julien Lesgourgues,No IT WP page,,,,,,,,,,
Q3189589,Julien Malzieu,No IT WP page,,,,,,,,,,
Q3189591,Julien Maréchal,No IT WP page,,,,,,,,,,
Q3189606,Julien Patey,No IT WP page,,,,,,,,,,
Q3189612,Julien Peyrelongue,No IT WP page,,,,,,,,,,
Q3189626,Julien Puricelli,No IT WP page,,,,,,,,,,
Q3189633,Julien Raynaud,No IT WP page,,,,,,,,,,
Q3189636,Julien Rey,No IT WP page,,,,,,,,,,
Q3189645,Julien Salellas,No IT WP page,,,,,,,,,,
Q3189650,Julien Saubade,No IT WP page,,,,,,,,,,
Q3189654,Julien Sentenac,No IT WP page,,,,,,,,,,
Q3189656,Julien Seron,No IT WP page,,,,,,,,,,
Q3189660,Julien Sidobre,No IT WP page,,,,,,,,,,
Q3189676,Julien Tastet,No IT WP page,,,,,,,,,,
Q3189680,Julien Tilloles,No IT WP page,,,,,,,,,,
Q3189681,Julien Tomas,No IT WP page,,,,,,,,,,
Q3189683,Julien Tourtoulou,No IT WP page,,,,,,,,,,
Q3189686,Julien Turini,No IT WP page,,,,,,,,,,
Q3189811,Julio Farías Cabello,,Julio Farías Cabello,Julio_Far%C3%ADas_Cabello,194,107,Terza linea ala,,Argentina,,,
Q3189813,Julio García,,Julio García,Julio_Garc%C3%ADa_(rugbista),185,,Pilone,,Argentina,,,
Q3190060,Junior Poluleuligaga,No IT WP page,,,,,,,,,,
Q3190061,Junior Pelesasa,No IT WP page,,,,,,,,,,
Q3190062,Junior Sa'u,No IT WP page,,,,,,,,,,
Q3190195,Jurie van Tonder,No IT WP page,,,,,,,,,,
Q3190412,Justin Bishop,,Justin Bishop,Justin_Bishop,185,90,Tre quarti ala,,Regno Unito,Inghilterra; Irlanda,,
Q3190423,Justin Collins,No IT WP page,,,,,,,,,,
Q3190437,Justin Fitzpatrick,,Justin Fitzpatrick,Justin_Fitzpatrick,185,117,Pilone,,Regno Unito,Irlanda,,
Q3190475,Justin Mensah-Coker,No IT WP page,,,,,,,,,,
Q3190488,Justin Purll,No IT WP page,,,,,,,,,,
Q3190490,Justin Purdie,No IT WP page,,,,,,,,,,
Q3190503,Justin Swart,No IT WP page,,,,,,,,,,
Q3190507,Justin Va'a,No IT WP page,,,,,,,,,,
Q3190631,Jye Mullane,No IT WP page,,,,,,,,,,
Q3190721,Jérémie Moles,No IT WP page,,,,,,,,,,
Q3190739,Jérémy Bertin,No IT WP page,,,,,,,,,,
Q3190740,Jérémy Bourlon,No IT WP page,,,,,,,,,,
Q3190741,Jérémy Castex,No IT WP page,,,,,,,,,,
Q3190754,Jérémy Gondrand,No IT WP page,,,,,,,,,,
Q3190755,Jérémy Hierso,No IT WP page,,,,,,,,,,
Q3190757,Jérémy Hurou,No IT WP page,,,,,,,,,,
Q3190770,Jérémy Sinzelle,No IT WP page,,,,,,,,,,
Q3190773,Jérémy Valls,No IT WP page,,,,,,,,,,
Q3190793,Jérôme Accorsi,No IT WP page,,,,,,,,,,
Q3190815,Jérôme Bianchi,No IT WP page,,,,,,,,,,
Q3190826,Jérôme Bonvoisin,No IT WP page,,,,,,,,,,
Q3190840,Jérôme Carré,No IT WP page,,,,,,,,,,
Q3190844,Jérôme Cazalbou,No IT WP page,,,,,,,,,,
Q3190851,Jérôme Cholley,No IT WP page,,,,,,,,,,
Q3190869,Jérôme Daret,No IT WP page,,,,,,,,,,
Q3190875,Jérôme Dhien,No IT WP page,,,,,,,,,,
Q3190887,Jérôme Durand,No IT WP page,,,,,,,,,,
Q3190896,Jérôme Filitoga-Taofifenua,No IT WP page,,,,,,,,,,
Q3190897,Jérôme Fillol,No IT WP page,,,,,,,,,,
Q3190908,Jérôme Gallion,No IT WP page,,,,,,,,,,
Q3190917,Jérôme Gendre,No IT WP page,,,,,,,,,,
Q3190928,Jérôme Guisset,No IT WP page,,,,,,,,,,
Q3190940,Jérôme Jacquet,No IT WP page,,,,,,,,,,
Q3190952,Jérôme Labat,No IT WP page,,,,,,,,,,
Q3191001,Jérôme Miquel,No IT WP page,,,,,,,,,,
Q3191006,Jérôme Moreau,No IT WP page,,,,,,,,,,
Q3191010,Jérôme Naves,No IT WP page,,,,,,,,,,
Q3191034,Jérôme Porical,No IT WP page,,,,,,,,,,
Q3191059,Jérôme Schuster,No IT WP page,,,,,,,,,,
