"teamName","country"
"University of Waikato","New Zealand"
"University of Otago","New Zealand"
"Victoria University of Wellington","New Zealand"
"University of South Africa","South Africa"
"University of Auckland","New Zealand"
"Stellenbosch University","South Africa"
"Ohio State Buckeyes","U.S.A."
"Korea Electric Power Corporation","South Korea"
"Newcastle University","England"
"University of Canberra","Australia"
"University of Edinburgh","Scotland"
"University of Canterbury","New Zealand"
"China Agricultural University","China"
"University of Hong Kong","Hong Kong"
"Linfield University","U.S.A."
"Yonsei University","South Korea"
"Dankook University","South Korea"
"Korea Armed Forces Athletic Corps","South Korea"
"Cardiff University","Wales"
"Queensland University of Technology","Australia"
"Kyung Hee University","South Korea"
"POSCO","South Korea"
"Victoria University","Australia"
"University of Gloucestershire","England"
"Tonga College","Tonga "
"Central Washington University","U.S.A."
"York University","Canada"
"University of California, Berkeley","U.S.A."
"Nelson College","New Zealand"
