"url","teamId"
"Nazionale_maschile_di_pallanuoto_della_Gran_Bretagna",NA
"Nazionale_maschile_di_pallanuoto_dell%27Irlanda",NA
"Nazionale_maschile_di_calcio_del_Brasile",NA
"Nazionale_di_atletica_leggera_della_Polonia",NA
"Oregon_Ducks_football",NA
"Baltimore_Ravens",NA
"Detroit_Lions",NA
"Philadelphia_Eagles",NA
"Nazionale_di_atletica_leggera_dell%27Australia",NA
"Nazionale_maschile_di_calcio_dell%27Argentina",NA
"Nazionale_maschile_di_rugby_a_7_del_Sudafrica",NA
"Universit%C3%A0_nazionale_di_C%C3%B3rdoba","1125"
"Nazionale_maschile_di_rugby_a_7_della_Nuova_Zelanda",NA
"Nazionale_maschile_di_rugby_a_7_dello_Zimbabwe",NA
"British_Army","918"
"Nazionale_maschile_di_rugby_a_7_dell%27Inghilterra",NA
"Pallacanestro_Varese",NA
"Robur_et_Fides_Varese",NA
"Modena_Basket",NA
"Selezioni_giovanili_della_nazionale_maschile_di_pallacanestro_dell%27Italia",NA
"Football_Club_Internazionale_Milano",NA
"Ohio_State_Buckeyes_football",NA
"New_England_Patriots",NA
"New_York_Giants",NA
"Nazionale_maschile_di_rugby_a_7_dell%27Italia",NA
"Nazionale_maschile_di_rugby_a_7_delle_Figi",NA
"Nazionale_maschile_di_calcio_della_Scozia",NA
"Real_Madrid_Baloncesto_B",NA
"Reial_Club_Deportiu_Espanyol_de_Barcelona",NA
"Nazionale_maschile_di_pallacanestro_della_Spagna",NA
"Figi","222"
"Nazionale_maschile_di_rugby_a_7_dell%27Australia",NA
"Universit%C3%A0_Meiji","2080"
"Nazionale_maschile_di_pallanuoto_dell%27Australia",NA
"Nazionale_maschile_di_rugby_a_7_dell%27Uganda",NA
