"fullName","rugbyscopeId"
"West of Scotland","739"
"Liceo Naval","1443"
"Bees","434"
"Nelson Bay","3936"
"Alumni","178"
"Wanderers","3792"
"Pirates","6218"
"Pueyrredón","1117"
"CU Rosario","1388"
"US Saint-Denis","7281"
"Welwitschias","563"
"Abertillery","897"
"AC Boulogne","4562"
"Aism. Montcada",NA
"Alpago","5651"
"Amatori Messina","5524"
"Amatori Napoli","6981"
"Amman Utd.","906"
"Angoulême","651"
"Anzio","5569"
"Arad","1039"
"Arechi","5515"
"Arras Fed 1","629"
"ASS Stade Calédonien","3075"
"Bagnères","664"
"Banbridge","943"
"Bassano","5652"
"BBB IBM BigBlue","1354"
"Beaumont","665"
"Beaune","7"
"Biscarrosse","2930"
"Borgo Poncarale","7261"
"Bort-les-Orgues","2846"
"Brisbane State High School",NA
"Brothers' O.B.","442"
"Tucumán LTC","1903"
"Tuggeranong V.","1904"
"Tulle","658"
"Unión del Sur","3416"
"Univ. di Cambridge","454"
"Univ. di Oxford","578"
"Univ. Tucumán","1921"
"Università di Cambridge","454"
"Universitario LP","1126"
"Urayasu D-Rocks (NTT)","1385"
"USAL Limoges Pro D2","302"
"Vänersborg","2035"
"Varese (giovanili)","5529"
"Vasari Arezzo","5640"
"Vastese in Bike",NA
"Venjulia Trieste","5660"
"Vichy","603"
"Vienne","474"
"Villadose","5534"
"Villeneuve XV","4524"
"Villorba","3301"
"Vinay","2841"
"Viterbo","7353"
"Waitakere","3271"
"Waunarlwydd","1958"
"West. Sydney Rams","740"
"World Corporation","NA1989"
"Yeomen Rugby","7402"
"Yokogawa","3039"
"Zelenograd","877"
"Bury at Edmunds","2207"
"Centurioni rugby","5599"
"CUS Milano rugby","801"
"Pro Recco","833"
"Terenure College",NA
"Terrace",NA
"SF Olympic Club","7286"
"Slava Mosca","648"
"Souillac","5091"
"South Leicester","1812"
"St Lukes",NA
"St. Andrew's Coll.",NA
"Stadium Casablanca",NA
"Stingrays","684"
"Suburbs","5794"
"Sundays Well","1853"
"Sungoliath","685"
"Tatami","6954"
"Tauranga","5742"
"Sanix Blues","1250"
"Santiago L.T.C.","3188"
"SAV Vierzon","4541"
"Segni","5571"
"SF Golden Gate","644"
"Saint-Céré","2489"
"Rovato","5525"
"Rowing Club Castillon",NA
"Rugby Athlétique Club Châteauroux","4687"
"Rugby Club du Mont-Dore","7240"
"Rumilly","56"
"S.-J. d'Angély","619"
"S.D. Breakers","2557"
"S.F. Rush","2558"
"Romans","406"
"RoVal Drôme XV","2627"
"Regno Unito",NA
"Rodez","663"
"PTT Bucurest","7144"
"QU Belfast","1693"
"Plymouth","589"
"Poneke","6084"
"Pōneke","6084"
"Portet","2410"
"Porthcawl","1670"
"Province dell’Ovest","5583"
"Pesaro","5513"
"Pic Saint Loup","5070"
"Pieve","5527"
"Perugia","2441"
"Ordizia","115"
"Orrels","577"
"Oujda","7358"
"Ozon","4884"
"Paganica","5512"
"Pais d'Aix","181"
"Pamiers","656"
"Pert Spirit","586"
"Nevers","720"
"Nantes","673"
"Mold","1521"
"Olimpia Bucarest","2388"
"NTT","1385"
"Norths","567"
"NSW Country","2210"
"Marist Bros. O.B.","1494"
"Marsiglia","614"
"Mauléon","655"
"Messina","5524"
"Millau","676"
"Miraglia Agrigento","6995"
"Mitchell College",NA
"Monein","3056"
"Montceau","4590"
"Montebelluna","5553"
"Montevideo CC","227"
"Montréjeau","3117"
"N.E. Free Jacks","2731"
"Napoli","6981"
"Nat. y Gimnasia","1115"
"Nissa","5630"
"Nizza","674"
"Nizza CAUR","674"
"Lormont","2181"
"Lumezzane","2428"
"Mâcon","412"
"Mantova","5606"
"Lipsia","140"
"Liverpool Police","5606"
"JC Villa María","3328"
"Jeddah RUFC",NA
"Kaneka Chemicals","6898"
"Kio Kio","5840"
"Kochebi","2223"
"Krasnyj Jar","102"
"Kuban’","596"
"Kudota Spears","1423"
"La Seyne","721"
"La Teste","722"
"Laloubère","5395"
"Langon","670"
"Lavelanet","671"
"Liberton FP","2992"
"Liceo Mendoza",NA
"Lille Métropole","548"
"Lince","3228"
"Linewood","5777"
"Lipsia","140"
"Liverpool Police","5606"
