"player","fullNames","birthDates","birthPlaces","deathDates","deathPlaces","weights","heights","positions","wikidataId"
"http://dbpedia.org/resource/Jean-Luc_du_Preez__Jean-Luc_du_Preez__1","Jean-Luc du Preez",NA,NA,NA,NA,113,194,NA,NA
"http://dbpedia.org/resource/Jean-Pierre_Smith_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jim_Devereux__Jimmy_Devereux__1","James Devereux; Jimmy Devereux",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jim_Gibbs__Jimmy_Gibbs__1","James Gibbs; Jimmy Gibbs",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jimmy_Nelson_(rugby_union)__Jimmy_Nelson__1","Jimmy Nelson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jimmy_Nelson_(rugby_union,_born_1903)__Jimmy_Nelson__1","Jimmy Nelson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jimmy_Parker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Joe_Karam__Joe_Karam__1","Joe Karam; Joseph Francis Karam",NA,NA,NA,NA,82,173,NA,NA
"http://dbpedia.org/resource/Joey_Carbery__Joey_Carbery__1","Joey Carbery",NA,NA,NA,NA,86,183,NA,NA
"http://dbpedia.org/resource/Joey_Iosefa__Outside_Center__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/John_Davies_(rugby_union,_born_1971)__John_Davies__1","John Davies",NA,NA,NA,NA,107.95498406,182.88,NA,NA
"http://dbpedia.org/resource/John_Dyke_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/John_Evans_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/John_Fihelly__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/John_Fogarty_(Irish_rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/John_Forrest_(rugby_union)__John_Forrest__1","John Forrest",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/John_Skinner_Wilson_(rugby_union)__John_Wilson__1","John Wilson",NA,NA,NA,NA,76.20351816,182.88,NA,NA
"http://dbpedia.org/resource/John_Spencer_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/John_Taylor_(rugby_union,_born_1876)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Johne_Murphy__Johne_Murphy__1","Johne Murphy",NA,NA,NA,NA,98,188,NA,NA
"http://dbpedia.org/resource/Johnny_Taylor_(cricketer)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Johnny_Williams_(rugby_union,_born_1996)__Johnny_Williams__1","Johnny Williams",NA,NA,NA,NA,105,190,NA,NA
"http://dbpedia.org/resource/Jonathan_Davies_(rugby,_born_1962)__Jonathan_Davies__1","Jonathan Davies; Jonathan DaviesOBE",NA,NA,NA,NA,76.20351816,152.4,NA,NA
"http://dbpedia.org/resource/Jonathan_Davies_(rugby_union,_born_1988)__Jonathan_Davies__1","Jonathan Davies",NA,NA,NA,NA,104,185,NA,NA
"http://dbpedia.org/resource/Jonny_Lomax__Jonny_Lomax__1","Jonathan Lomax; Jonny Lomax",NA,NA,NA,NA,88,178,NA,NA
"http://dbpedia.org/resource/Jonny_Murphy__Jonny_Murphy__1","Jonny Murphy",NA,NA,NA,NA,104,178,NA,NA
"http://dbpedia.org/resource/Jono_Hickey__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jordi_Murphy__Jordi_Murphy__1","Jordi Murphy",NA,NA,NA,NA,106,188,NA,NA
"http://dbpedia.org/resource/Joseph_Green_(rugby_union_and_cricket)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Josh_Bassett__Josh_Bassett__1","Josh Bassett",NA,NA,NA,NA,92,192,NA,NA
"http://dbpedia.org/resource/Juan-Philip_Smith__JP_Smith__1","JP Smith; Juan-Philip Smith",NA,NA,NA,NA,NA,187,NA,NA
"http://dbpedia.org/resource/Juan_Echeverría__Juan_Echeverría__1","Juan Antonio Echeverría Rodriguez; Juan Echeverría",NA,NA,NA,NA,113,172,NA,NA
"http://dbpedia.org/resource/Junior_Poluleuligaga__Junior_Poluleuligaga__1","Augusitino Junior Poluleuligaga; Junior Poluleuligaga",NA,NA,NA,NA,96,180,NA,NA
"http://dbpedia.org/resource/Justine_Pelletier",NA,"2001-02-27",NA,NA,NA,NA,170,"Fly-Half",NA
"http://dbpedia.org/resource/Kasey_Badger","Kasey Badger","1987-03-11",NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ken_Kearney__Ken_Kearney__1","Ken Kearney; Kenneth Howard Kearney",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Kenny_Logan__Kenny_Logan__1","Kenny Logan",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Kevin_Harkin__Kevin_Harkin__1","Kevin Harkin; Kevin P. Harkin",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Kevin_Hopkins__Kevin_Hopkins__1","Kevin Hopkins",NA,NA,NA,NA,76,177.8,NA,NA
"http://dbpedia.org/resource/Kieran_Crowley__Kieran_Crowley__1","Kieran Crowley; Kieran James Crowley",NA,NA,NA,NA,84,184,NA,NA
"http://dbpedia.org/resource/Kiev_Regional_Committee_of_the_Communist_Party_of_Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Kingsley_Jones_(rugby_union,_born_1935)__Kingsley_Jones__1","Kingsley Jones",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Kingsley_Jones_(rugby_union,_born_1969)__Kingsley_Jones__1","Kingsley Jones",NA,NA,NA,NA,98,184,NA,NA
"http://dbpedia.org/resource/Kobus_Wiese__Kobus_Wiese__1","Kobus Wiese",NA,NA,NA,NA,125,199,NA,NA
"http://dbpedia.org/resource/Kris_Smith__Kris_Smith__1","Kris Smith",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Kyle_Schneider","Kyle John William Schneider; Kyle Schneider","2000-02-07","Australia; Kanwal, New South Wales",NA,NA,90,183,NA,NA
"http://dbpedia.org/resource/Labour_Party_Chair_(2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Lancelot_Barrington-Ward__Edinburgh_University_RFC__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Lasha_Lomidze_(rugby_union,_born_2000)__Lasha_Lomidze__1","Lasha Lomidze",NA,NA,NA,NA,90,181,NA,NA
"http://dbpedia.org/resource/Lasha_Lomidze__Lasha_Lomidze__1","Lasha Lomidze",NA,NA,NA,NA,110,195,NA,NA
"http://dbpedia.org/resource/Latu_Talakai__Latu_Talakai__1","Latu Talakai; Sione Latu Talakai",NA,NA,NA,NA,132,193,NA,NA
"http://dbpedia.org/resource/Latu_Vaeno__Latu_Vaeno__1","Latu Vaeno",NA,NA,NA,NA,94,188,NA,NA
"http://dbpedia.org/resource/Latu_Vaʻeno__Latu_Vaʻeno__1","Latu Vaʻeno",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Leon_Bott__Leon_Bott__1","Leon Bott",NA,NA,NA,NA,98,178,NA,NA
"http://dbpedia.org/resource/Les_Boyd__Les_Boyd__1","Les Boyd; Lesley William Boyd",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Les_Pearson__Les_Pearson__1","Les Pearson; Leslie Pearson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Leslie_Balfour-Melville__Full_Back__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Lew_Evans__Lew_Evans__1","Lew Evans",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Lindsay_Johnston__Lindsay_Johnston__1","Lindsay Johnston",NA,NA,NA,NA,99,190,NA,NA
"http://dbpedia.org/resource/Line_of_Departure",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/List_of_Governors_of_São_Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/List_of_Police_Ministers_of_France",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/List_of_Vice-Presidents_of_South_Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/List_of_Vice_Presidents_of_Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/List_of_Vice_Presidents_of_Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/List_of_mayors_of_Lewisham",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Lord_Justices_(Ireland)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Lords_Proprietor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Luca_Moretti","Luca Moretti",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ludovic_Stuart__Ludovic_Stuart__1","Ludovic Stuart",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Luke_Brooks__Luke_Brooks__1","Luke Brooks",NA,NA,NA,NA,88,180,NA,NA
"http://dbpedia.org/resource/Luke_May__Luke_May__1","Luke May",NA,NA,NA,NA,82.55381134,177.8,NA,NA
"http://dbpedia.org/resource/Luke_Watson__Luke_Watson__1","Luke Asher Watson; Luke Watson",NA,NA,NA,NA,NA,184,NA,NA
"http://dbpedia.org/resource/Manfred_Moore____1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Manuel_Arroyo","Manuel Arroyo","2002-07-06","Argentina; Mendoza, Argentina",NA,NA,106,178,"Hooker",NA
"http://dbpedia.org/resource/Mark_Blair_(rugby_union)","Mark Blair",NA,NA,NA,NA,NA,NA,"Lock",NA
"http://dbpedia.org/resource/Mark_Donaldson_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mark_Taylor_(New_Zealand_rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mark_Wyatt_(Welsh_rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mark_Wyatt_(rugby_union,_born_1961)__Mark_Wyatt__1","Mark Wyatt",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Martin_Ferreira__Martin_Ferreira__1","Martin Ferreira",NA,NA,NA,NA,NA,188,NA,NA
"http://dbpedia.org/resource/Martin_Jágr__Martin_Jágr__1","Martin Jágr",NA,NA,NA,NA,85,181,NA,NA
"http://dbpedia.org/resource/Martin_Kafka_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Martin_Locke__Martin_Locke__1","Martin Locke",NA,NA,NA,NA,103,190,NA,NA
"http://dbpedia.org/resource/Martin_McLoughlin__Martin_McLoughlin__1","Martin McLoughlin; Martin Paul McLoughlin",NA,NA,NA,NA,NA,182.88,NA,NA
"http://dbpedia.org/resource/Martin_Waite__Martin_Waite__1","Martin Waite",NA,NA,NA,NA,NA,190.5,NA,NA
"http://dbpedia.org/resource/Matt_Burke_(rugby,_born_1964)__Matt_Burke__1","Matt Burke; Matthew Peter Burke",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Matt_Duffie__Matt_Duffie__1","Matt Duffie; Matthew David Duffie",NA,NA,NA,NA,95,192,NA,NA
"http://dbpedia.org/resource/Matt_Williams_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Matthew_Dufty__Matt_Dufty__1","Matt Dufty; Matthew Dufty",NA,NA,NA,NA,83,179,NA,NA
"http://dbpedia.org/resource/Maurice_Turnbull__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mayor_of_Derry",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Measuring_Attractiveness_by_a_Categorical_Based_Evaluation_Technique_(MACBETH)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Michael_Bradley_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Michael_Bradley_(rugby_union,_born_1962)__Michael_Bradley__1","Michael Bradley",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Michael_Haley_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Michael_van_Vuren__Michael_van_Vuren__1","Michael van Vuren",NA,NA,NA,NA,106,198,NA,NA
"http://dbpedia.org/resource/Michael_van_Vuuren_(rugby_player_born_1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Michael_van_Vuuren__Michael_van_Vuuren__1","Michael Thomas van Vuuren; Michael van Vuuren",NA,NA,NA,NA,115,188,NA,NA
"http://dbpedia.org/resource/Micheal_Luck__Micheal_Luck__1","Micheal Luck",NA,NA,NA,NA,98,187,NA,NA
"http://dbpedia.org/resource/Mike_Biggar__Mike_Biggar__1","Mike Biggar",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mike_Leary__Mike_Leary__1","Michael Arthur Leary; Mike Leary",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mike_Pyke__Mike_Pyke__1","Michael Anthony Patrick Pyke; Mike Pyke",NA,NA,NA,NA,104,200,NA,NA
"http://dbpedia.org/resource/Minister_for_Electoral_Affairs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Minister_for_Policing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Minister_for_Security",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Minister_of_Communications_(Iceland)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Minister_of_Defence_(Namibia)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Minister_of_Liberated_Regions_(France)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Minister_of_Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ministre_d’État_à_l’Aménagement_(Quebec)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ministry_of_Transport_and_Works",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Minor-league_field_coordinator",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mission_Specialist",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Mitchell_Barnett__Mitch_Barnett__1","Mitch Barnett; Mitchell Barnett",NA,NA,NA,NA,104,187,NA,NA
"http://dbpedia.org/resource/Morgan_Harper__Morgan_Harper__1","Morgan Harper",NA,NA,NA,NA,95,186,NA,NA
"http://dbpedia.org/resource/Moscow_City_Committee_of_the_Communist_Party_of_the_Soviet_Union",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Nate_Ebner__File:Nate_Ebner_2016-05-15.jpg__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Nathan_Bressington__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Nathaniel_Curtis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Neil_Cochrane__Neil_Cochrane__1","Neil Cochrane",NA,NA,NA,NA,104,178,NA,NA
"http://dbpedia.org/resource/Neil_Hunt__Neil_Hunt__1","Neil Hunt",NA,NA,NA,NA,83,185,NA,NA
"http://dbpedia.org/resource/Newport_Gwent_Dragons",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Niall_Breslin__Niall_Breslin__1","Niall Breslin",NA,NA,NA,NA,100,NA,NA,NA
"http://dbpedia.org/resource/Nick_De_Luca__Nick_De_Luca__1","Nick De Luca",NA,NA,NA,NA,93,183,NA,NA
"http://dbpedia.org/resource/Nigel_Davies_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Noel_McGrath_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Norm_Jacobson__Norm_Jacobson__1","Norm Jacobson; Norman Raymond Jacobson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Norman_Wodehouse__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ockie_van_Zyl_(rugby_player_born_1982)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Odessa_Regional_Committee_of_the_Communist_Party_of_Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ofisa_Treviranus__Ofisa_Treviranus__1","Ofisa Treviranus",NA,NA,NA,NA,108,187,NA,NA
"http://dbpedia.org/resource/Olly_Davies__Olly_Davies__1","Oliver Davies; Olly Davies",NA,NA,NA,NA,94,180,NA,NA
"http://dbpedia.org/resource/Ossie_Newton-Thompson____1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Paddy_Bugden__Paddy_Bugden__1","Paddy Bugden; Patrick Alfred Bugden",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Paddy_Gray_(cricketer)__Australia-rugbyleague-bio-stub__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Paddy_Ryan_(rugby_union,_born_1988)__Paddy_Ryan__1","Paddy Ryan",NA,NA,NA,NA,120,189,NA,NA
"http://dbpedia.org/resource/Paddy_Ryan_(rugby_union,_born_1990)__Paddy_Ryan__1","Paddy Ryan; Patrick Joseph Ryan",NA,NA,NA,NA,158.76,185.42,NA,NA
"http://dbpedia.org/resource/Paige_Parker__Paige_Parker__1","Paige Parker",NA,NA,NA,NA,74,172,NA,NA
"http://dbpedia.org/resource/Patrick_Howard_(rugby_union)__Patrick_Howard__1","Patrick Benjamin Howard; Patrick Howard",NA,NA,NA,NA,100,187,NA,NA
"http://dbpedia.org/resource/Paul_Jordaan__Paul_Jordaan__1","Paul Abraham Jordaan; Paul Jordaan",NA,NA,NA,NA,88,180,NA,NA
"http://dbpedia.org/resource/Paul_Sampson__Paul_Sampson__1","Paul Sampson",NA,NA,NA,NA,69.85322498,175.26,NA,NA
"http://dbpedia.org/resource/Paul_Woods_(rugby)__Paul_Woods__1","Paul Woods",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Percival_Penman__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Percy_Phillips_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Peter_Brown_(rugby_union)__Peter_Brown__1","Peter Brown",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Peter_Browne_(rugby_union)__Peter_Browne__1","Peter Browne",NA,NA,NA,NA,111,195,NA,NA
"http://dbpedia.org/resource/Peter_Cranmer__Peter_Cranmer__1","Peter Cranmer",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Peveril_William-Powlett__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Phil_Murphy_(rugby_union,_born_1976)__Phil_Murphy__1","Phil Murphy",NA,NA,NA,NA,113,195,NA,NA
"http://dbpedia.org/resource/Phil_Murphy_(rugby_union,_born_1980)__Phil_Murphy__1","Phil Murphy",NA,NA,NA,NA,107.95498406,195.58,NA,NA
"http://dbpedia.org/resource/Philip_Joseph_Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Playoff_berth",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Queen's_Printer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/R._H._Williams_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Rab_Bruce_Lockhart__Rab_Bruce_Lockhart__1","Rab Bruce Lockhart",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ray_Ashton","Ray Ashton","1960-10-26","Widnes, Lancashire, England",NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ray_Ofisa__Ray_Ofisa__1","Ray Ofisa; Ray Ofisa Treviranus",NA,NA,NA,NA,NA,192,NA,NA
"http://dbpedia.org/resource/Ray_Price_(rugby)__Ray_Price__1","Ray Price; Raymond Alan Price",NA,NA,NA,NA,89,183,NA,NA
"http://dbpedia.org/resource/Ray_Williams_(rugby_union,_born_1927)__Ray_Williams__1","Ray Williams",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ray_Williams_(rugby_union_coach)__Ray_Williams__1","Ray Williams",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Richard_Harding_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Richardt_Strauss__Richardt_Strauss__1","Richardt Strauss",NA,NA,NA,NA,101,174,NA,NA
"http://dbpedia.org/resource/Richie_Gray_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Robbie_Robinson_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Robert_Kelly_(rugby_union)__Robert_Kelly__1","Robert Kelly",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Robert_Munro_(rugby_footballer)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Robert_Neilson__Robert_Neilson__1","Robert Neilson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Robert_Stevenson_(rugby_union)__Robert_C._Stevenson__1","Robert C. Stevenson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Robert_Wilson_(rugby_union,_born_1854)__Robert_Wilson__1","Robert Wilson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Robert_Wilson_(rugby_union,_born_1861)__Robert_Wilson__1","Robert Wilson",NA,NA,NA,NA,60,NA,NA,NA
"http://dbpedia.org/resource/Roger_Clarke_(rugby_administrator)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ronnie_Bauser__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Rory_O'Brien__Rory_O'Brien__1","Rory O'Brien",NA,NA,NA,NA,126,195,NA,NA
"http://dbpedia.org/resource/Rowen_Shepherd__Rowen_Shepherd__1","Rowen Shepherd",NA,NA,NA,NA,98,182.88,NA,NA
"http://dbpedia.org/resource/Rudi_Britz__Rudi_Britz__1","Rudi Britz; Rudolph Martinus Britz",NA,NA,NA,NA,116,186,NA,NA
"http://dbpedia.org/resource/Rudi_Mathee__Rudi_Mathee__1","Rudi Mathee",NA,NA,NA,NA,108,195,NA,NA
"http://dbpedia.org/resource/Ryan_Powell_(rugby_union)__Ryan_Powell__1","Ryan Powell",NA,NA,NA,NA,83,173,NA,NA
"http://dbpedia.org/resource/Sadaijin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Sam_Irwin__Sam_Irwin__1","Sam Irwin",NA,NA,NA,NA,80,171,NA,NA
"http://dbpedia.org/resource/Sam_McGuffie__Scrum-half__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Sammy_Woods__Sammy_Woods__1","Sammy Woods",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Schalk_van_der_Merwe_(rugby_union)__Schalk_van_der_Merwe__1","Schalk Willem van der Merwe; Schalk van der Merwe",NA,NA,NA,NA,NA,184,NA,NA
"http://dbpedia.org/resource/Scott_MacLeod_(rugby_union)__Scott_MacLeod__1","Scott MacLeod",NA,NA,NA,NA,110,198,NA,NA
"http://dbpedia.org/resource/Scott_McLeod_(rugby_union)__Scott_McLeod__1","Scott James McLeod; Scott McLeod",NA,NA,NA,NA,100,191,NA,NA
"http://dbpedia.org/resource/Sean_McCarthy_(rugby_union,_born_1993)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Sebastian_Ferreira__Sebastian_Ferreira__1","Sebastian Ferreira; Sebastian Roche Ferreira",NA,NA,NA,NA,NA,195,NA,NA
"http://dbpedia.org/resource/Senior_Advisor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Senior_Man",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Sequita_Hemingway__Sequita_Hemingway__1","Sequita Hemingway",NA,NA,NA,NA,85,180,NA,NA
"http://dbpedia.org/resource/Seventh_Posture",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Seán_O'Brien_(rugby_union,_born_1994)__Seán_O'Brien__1","Seán O'Brien",NA,NA,NA,NA,112,195,NA,NA
"http://dbpedia.org/resource/Seán_O'Brien_(rugby_union,_born_1998)__Seán_O'Brien__1","Seán O'Brien",NA,NA,NA,NA,96,185,NA,NA
"http://dbpedia.org/resource/Shadow_Minister_for_Women_and_Equalities",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Shadow_Minister_for_the_Constitutional_Convention",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Shakur_Welcome__Shakur_Welcome__1","Shakur Welcome",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Shane_Wright_(rugby)__Shane_Wright__1","Shane Wright",NA,NA,NA,NA,100,188,NA,NA
"http://dbpedia.org/resource/Shannon_McDonnell__Shannon_McDonnell__1","Shannon Jay McDonnell; Shannon McDonnell",NA,NA,NA,NA,86,181,NA,NA
"http://dbpedia.org/resource/Shaun_MacDonald_(rugby_union)__Shaun_MacDonald__1","Shaun MacDonald",NA,NA,NA,NA,99,180,NA,NA
"http://dbpedia.org/resource/Shaun_McDonald_(rugby_union)__Shaun_McDonald__1","Shaun McDonald",NA,NA,NA,NA,NA,192,NA,NA
"http://dbpedia.org/resource/Shaun_Spence__Shaun_Spence__1","Shaun Spence",NA,NA,NA,NA,106,189,NA,NA
"http://dbpedia.org/resource/Sid_Deane__Sid_Deane__1","Sid Deane; Sidney Phillip Deane",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Sid_Little__Sid_Little__1","Sid Little; Sidney Devereux Little",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Sika_Manu__Sika_Manu__1","Sika Manu; Viliami Sikalamu Manu",NA,NA,NA,NA,110,182,NA,NA
"http://dbpedia.org/resource/Sione_Tuihalamaka__Sione_Tuihalamaka__1","Sione Tuihalamaka",NA,NA,NA,NA,122.0184,187.96,NA,NA
"http://dbpedia.org/resource/Smart_Lock",NA,NA,NA,NA,NA,NA,NA,NA,NA
