"player","fullNames","birthDates","birthPlaces","deathDates","deathPlaces","weights","heights","positions","wikidataId"
"http://dbpedia.org/resource/Bethel_Solomons__Bethel_Solomons__1","Bethel Solomons",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Bill_Tupou__Bill_Tupou__1","Bill Tupou; Pio Bill Tupou",NA,NA,NA,NA,99,183,NA,NA
"http://dbpedia.org/resource/Bishop_at_Lambeth",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Bluefield_College_Rams",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Brian_Thomas_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Bryn_Evans_(Welsh_rugby_union_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Bugler_(BSA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Calum_Turner__Calum_Turner__1","Calum Turner",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Captain_of_the_Arabs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Charles_Staines__Charlie_Staines__1","Charles Staines; Charlie Staines",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Charles_Wilson_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Charlie_Hedley__Charlie_Hedley__1","Charles Hedley; Charlie Hedley",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Charlie_Oliver",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Chris_Jones_(rugby,_born_1982)__Chris_Jones__1","Chris Jones",NA,NA,NA,NA,97,188,NA,NA
"http://dbpedia.org/resource/Chris_Jones_(rugby_union)__Chris_Jones__1","Chris Jones",NA,NA,NA,NA,111,198,NA,NA
"http://dbpedia.org/resource/Chris_MacKintosh",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Chris_Thomson__Chris_Thomson__1","Chris Thomson",NA,NA,NA,NA,117,204,NA,NA
"http://dbpedia.org/resource/Christopher_Chavasse__St_Helens_RLFC__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Christy_Elliot__Christy_Elliot__1","Christy Elliot",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/City_treasurer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Cliff_Jones_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Cobus_Wiese__Cobus_Wiese__1","Cobus Wiese; Jacobus Hermanus Wiese",NA,NA,NA,NA,NA,197,NA,NA
"http://dbpedia.org/resource/Cody_Walker_(rugby_union)__Cody_Walker__1","Cody Walker",NA,NA,NA,NA,116,184,NA,NA
"http://dbpedia.org/resource/Colorado–Colorado_Springs_Mountain_Lions",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Commander-in-Chief,_China",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Commander-in-chief_of_the_British_Armed_Forces",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Commander-in-chief_of_the_Royal_Thai_Armed_Forces",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Commissioner_of_Karachi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Commissioner_of_Registration",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Conor_Moloney__Conor_Moloney__1","Conor Moloney",NA,NA,NA,NA,110,189,NA,NA
"http://dbpedia.org/resource/Cyril_Burke__Cyril_Burke__1","Cyril Burke",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dai_Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dai_Young__Dai_Young__1","Dai Young",NA,NA,NA,NA,114.30527724,182.88,NA,NA
"http://dbpedia.org/resource/Dally_Messenger__Dally_Messenger__1","Dally Messenger; Herbert Henry Messenger",NA,NA,NA,NA,76.20351816,152.4,NA,NA
"http://dbpedia.org/resource/Dan_Parks__Dan_Parks__1","Dan Parks",NA,NA,NA,NA,91,180,NA,NA
"http://dbpedia.org/resource/Dan_du_Plessis__Dan_du_Plessis__1","Dan du Plessis; Daniël Michael du Plessis",NA,NA,NA,NA,97,187,NA,NA
"http://dbpedia.org/resource/Danie_van_der_Merwe__Danie_van_der_Merwe__1","Danie van der Merwe; Daniel Joubert van der Merwe",NA,NA,NA,NA,120,184,NA,NA
"http://dbpedia.org/resource/Daniel_Adongo__Daniel_Adongo__1","Daniel Adongo; Daniel Ojambo Adongo",NA,NA,NA,NA,112,196,NA,NA
"http://dbpedia.org/resource/Daniel_Hondo__1",NA,NA,NA,NA,NA,NA,177,NA,NA
"http://dbpedia.org/resource/Daniel_Jones_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Daniel_Pascoe__Daniel_Pascoe__1","Daniel Pascoe",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Darren_Jordan__Darren_Jordan__1","Darren Jordan; Darren Lee Jordan",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Daryl_Clark__Daz_Clark__1","Daryl Clark; Daz Clark",NA,NA,NA,NA,88.90410452,183,NA,NA
"http://dbpedia.org/resource/Daryl_Powell__Daryl_Powell__1","Daryl A. Powell; Daryl Powell",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dave_Egerton__David_Egerton__1","David Egerton",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dave_Gallaher__Dave_Gallaher__1","Dave Gallaher",NA,NA,NA,NA,84,183,NA,NA
"http://dbpedia.org/resource/David_Bishop_(rugby_player_born_1983)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/David_Dunworth__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/David_Egerton",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/David_Morgan_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/David_Nicholl_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/David_Robertson_(golfer)",NA,NA,NA,NA,NA,NA,NA,NA,NA
