"team","teamLabel","teamNames","nickNames","wikidataId"
"http://dbpedia.org/resource/1986–87_Saudi_Premier_League","1986–87 Saudi Premier League",NA,NA,"Q2949081"
"http://dbpedia.org/resource/50/50_&_Lullaby","50/50 & Lullaby",NA,NA,"Q4639707"
"http://dbpedia.org/resource/Adventures_of_Pip","Adventures of Pip",NA,NA,"Q20031737"
"http://dbpedia.org/resource/Allons_à_Lafayette","Allons à Lafayette",NA,NA,"Q4733093"
"http://dbpedia.org/resource/Amarillo_(Gorillaz_song)","Amarillo (Gorillaz song)",NA,NA,"Q14863682"
"http://dbpedia.org/resource/Anett_Futatabi","Anett Futatabi",NA,NA,"Q2851483"
"http://dbpedia.org/resource/Astal","Astal",NA,NA,"Q4810523"
"http://dbpedia.org/resource/Ballynahinch_Rabbitohs","Ballynahinch Rabbitohs",NA,NA,"Q4852248"
"http://dbpedia.org/resource/Banquet/Staying_Fat","Banquet/Staying Fat",NA,NA,"Q4857079"
"http://dbpedia.org/resource/Base_(geometry)","Base (geometry)",NA,NA,"Q2553861"
"http://dbpedia.org/resource/Bazooka_Bill","Bazooka Bill",NA,NA,"Q4875231"
"http://dbpedia.org/resource/Bee_52","Bee 52",NA,NA,"Q2358844"
"http://dbpedia.org/resource/Belgium_Barbarians","Belgium Barbarians",NA,"Belgium Barbarians","Q2894383"
"http://dbpedia.org/resource/Ben_Ryan_(rugby_union)","Ben Ryan (rugby union)",NA,NA,"Q4886399"
"http://dbpedia.org/resource/Big_Black_Smoke","Big Black Smoke",NA,NA,"Q4905139"
"http://dbpedia.org/resource/Blue's_Journey","Blue's Journey",NA,NA,"Q2907122"
"http://dbpedia.org/resource/Boca_Raton_Rugby_Football_Club","Boca Raton Rugby Football Club",NA,NA,"Q4936106"
"http://dbpedia.org/resource/Boo-Woo","Boo-Woo",NA,NA,"Q22043550"
"http://dbpedia.org/resource/Bridgend_Blue_Bulls","Bridgend Blue Bulls","; Blue Bulls Rugby League Football Club",NA,"Q4966530"
"http://dbpedia.org/resource/Broadside","Broadside",NA,NA,"Q4972294"
"http://dbpedia.org/resource/Busento","Busento",NA,NA,"Q852279"
"http://dbpedia.org/resource/Cantoris","Cantoris",NA,NA,"Q16825492"
"http://dbpedia.org/resource/Cardiff_Demons","Cardiff Demons","; Cardiff Demons Rugby League Football Club",NA,"Q5038403"
"http://dbpedia.org/resource/Cheshire_Rugby_Football_Union","Cheshire Rugby Football Union","Cheshire RFU",NA,"Q24993279"
"http://dbpedia.org/resource/Chiefs_Manawa","Chiefs Manawa",NA,NA,"Q113635298"
"http://dbpedia.org/resource/Clayton_A.R.L.F.C.","Clayton A.R.L.F.C.","Clayton Rugby League Football Club",NA,"Q5130318"
"http://dbpedia.org/resource/Clevedon_Shore","Clevedon Shore",NA,NA,"Q5132016"
"http://dbpedia.org/resource/Club_Atlético_San_Isidro","Club Atlético San Isidro","Academia, Cebras,La Catedral; San Isidro (CASI); Club Atlético de San Isidro","Academia, Cebras,La Catedral","Q922496"
"http://dbpedia.org/resource/Combat_reenactment","Combat reenactment",NA,NA,"Q1696856"
"http://dbpedia.org/resource/Come_with_Us/The_Test","Come with Us/The Test",NA,NA,"Q2065733"
"http://dbpedia.org/resource/Consuela_Biaz","Consuela Biaz",NA,NA,"Q84158875"
"http://dbpedia.org/resource/Cork_Constitution","Cork Constitution","Con; Cork Constitution Football Club","Con","Q5170771"
"http://dbpedia.org/resource/Crewe_Alexandra_L.F.C.","Crewe Alexandra L.F.C.","Crewe Alexandra Ladies Football Club","The Alex","Q5184816"
"http://dbpedia.org/resource/Cumbria_Rugby_Union","Cumbria Rugby Union","Cumbria RU",NA,"Q39053546"
"http://dbpedia.org/resource/Darlington_Mowden_Park_Durham_Sharks","Darlington Mowden Park Durham Sharks","Sharks","Sharks","Q17001555"
"http://dbpedia.org/resource/Deathsmiles","Deathsmiles",NA,NA,"Q3010595"
"http://dbpedia.org/resource/Deathsmiles_II","Deathsmiles II",NA,NA,"Q11320577"
"http://dbpedia.org/resource/Decani","Decani",NA,NA,"Q5248737"
"http://dbpedia.org/resource/Devon_Rugby_Football_Union","Devon Rugby Football Union","Devon RFU",NA,"Q28406471"
